date,nav,cash,invested_value,exposure,holdings_count
2023-04-04,199949.4428209,186795.4428209,13154.0,0.06578662993215932,2
2023-04-06,199755.4428209,186795.4428209,12960.0,0.06487933353395475,2
2023-04-07,199979.05602360002,178807.05602360002,21172.0,0.1058710868077177,3
2023-04-10,200059.05602360002,178807.05602360002,21252.0,0.10622863279677278,3
2023-04-11,199838.05602360002,178807.05602360002,21031.0,0.105240215094548,3
2023-04-12,199867.05602360002,178807.05602360002,21060.0,0.10537004156159314,3
2023-04-13,199830.82162980002,173510.82162980002,26320.0,0.1317114136114576,4
2023-04-14,200054.82162980002,173510.82162980002,26544.0,0.13268363033568606,4
2023-04-17,200860.45083550003,165542.45083550003,35318.0,0.17583351950616008,5
2023-04-18,201439.45083550003,165542.45083550003,35897.0,0.17820243180326328,5
2023-04-19,201244.45083550003,165542.45083550003,35702.0,0.17740613394196544,5
2023-04-20,201433.45083550003,165542.45083550003,35891.0,0.17817795331973074,5
2023-04-21,200466.45083550003,165542.45083550003,34924.0,0.1742136893951305,5
2023-04-24,200010.45083550003,165542.45083550003,34468.0,0.17233099498559926,5
2023-04-25,199718.54972925002,158161.54972925002,41557.0,0.2080778177907714,6
2023-04-26,199689.54972925002,158161.54972925002,41528.0,0.2079628105542124,6
2023-04-27,200408.54972925002,158161.54972925002,42247.0,0.2108043796388691,6
2023-04-28,201215.23894620003,150268.23894620003,50947.0,0.2531965285870916,7
2023-05-04,201401.23894620003,150268.23894620003,51133.0,0.2538862236773979,7
2023-05-05,201945.87431545003,146059.87431545003,55886.0,0.2767375178593802,8
2023-05-08,203322.39667605003,140459.39667605003,62863.0,0.3091789248390501,9
2023-05-09,202763.39667605003,140459.39667605003,62304.0,0.30727439479395546,9
2023-05-10,201724.39667605003,140459.39667605003,61265.0,0.30370644805241725,9
2023-05-11,201381.39667605003,140459.39667605003,60922.0,0.30252049596220404,9
2023-05-12,200686.39667605003,140459.39667605003,60227.0,0.30010504447503245,9
2023-05-15,201629.39667605003,140459.39667605003,61170.0,0.3033783813690591,9
2023-05-16,201191.39667605003,140459.39667605003,60732.0,0.30186181418973956,9
2023-05-17,200705.39667605003,140459.39667605003,60246.0,0.30017130081081217,9
2023-05-18,200736.39667605003,140459.39667605003,60277.0,0.30027937632693236,9
2023-05-19,200376.39667605003,140459.39667605003,59917.0,0.29902224510438846,9
2023-05-22,201130.16190725003,132661.16190725003,68469.0,0.3404213438239764,10
2023-05-23,199926.16190725003,132661.16190725003,67265.0,0.33644921384128634,10
2023-05-24,198642.16190725003,132661.16190725003,65981.0,0.33216009817094033,10
2023-05-25,198653.82359425005,117228.82359425005,81425.0,0.40988388004204923,12
2023-05-26,198877.56451215004,114192.56451215006,84684.99999999999,0.4258147479215853,11
2023-05-29,198962.56451215007,114192.56451215006,84770.00000000001,0.426060049074324,11
2023-05-30,198509.03985140007,109784.03985140006,88725.00000000001,0.4469569751907409,12
2023-05-31,197764.03985140007,109784.03985140006,87980.00000000001,0.444873598183513,12
2023-06-01,197504.03985140007,109784.03985140006,87720.00000000001,0.44414281381788245,12
2023-06-02,199268.03985140007,109784.03985140006,89484.00000000001,0.4490634828682553,12
2023-06-05,199138.03985140007,109784.03985140006,89354.00000000001,0.44870382407438264,12
2023-06-06,198757.03985140007,109784.03985140006,88973.00000000001,0.4476470371390132,12
2023-06-07,199302.03985140007,109784.03985140006,89518.00000000001,0.4491574700727839,12
2023-06-08,200723.03985140007,109784.03985140006,90939.00000000001,0.45305710827877194,12
2023-06-09,200374.03985140007,109784.03985140006,90590.00000000001,0.4521044745476146,12
2023-06-12,200225.03985140007,109784.03985140006,90441.00000000001,0.45169675115121527,12
2023-06-13,200449.03985140007,109784.03985140006,90665.00000000001,0.4523094751025656,12
2023-06-14,200470.03985140007,109784.03985140006,90686.00000000001,0.4523668477704783,12
2023-06-15,201238.03985140007,109784.03985140006,91454.00000000001,0.45445682171985113,12
2023-06-16,201303.03985140007,109784.03985140006,91519.00000000001,0.45463297557532384,12
2023-06-19,200016.03985140007,109784.03985140006,90232.00000000001,0.4511238202048045,12
2023-06-20,199670.03985140007,109784.03985140006,89886.00000000001,0.4501726952470969,12
2023-06-21,199183.03985140007,109784.03985140006,89399.00000000001,0.44882837447754526,12
2023-06-26,197837.03985140007,109784.03985140006,88053.00000000001,0.44507843458504354,12
2023-06-27,199052.03985140007,109784.03985140006,89268.00000000001,0.44846563776307935,12
2023-06-28,199494.03985140007,109784.03985140006,89710.00000000001,0.44968762007538454,12
2023-06-29,198742.03985140007,109784.03985140006,88958.00000000001,0.4476053484532721,12
2023-06-30,199231.03985140007,109784.03985140006,89447.00000000001,0.4489611662254818,12
2023-07-03,200886.03985140004,109784.03985140006,91101.99999999999,0.45350090064690507,12
2023-07-04,200479.03985140007,109784.03985140006,90695.00000000001,0.4523914323772966,12
2023-07-05,200135.03985140007,109784.03985140006,90351.00000000001,0.4514501811730993,12
2023-07-06,199586.03985140007,109784.03985140006,89802.00000000001,0.4499412888138933,12
2023-07-07,199793.03985140007,109784.03985140006,90009.00000000001,0.45051118931343126,12
2023-07-10,199655.03985140007,109784.03985140006,89871.00000000001,0.45013138695066,12
2023-07-11,200153.03985140007,109784.03985140006,90369.00000000001,0.4514995129081867,12
2023-07-12,200236.03985140007,109784.03985140006,90452.00000000001,0.451726872280967,12
2023-07-13,201435.03985140007,109784.03985140006,91651.00000000001,0.4549903535532425,12
2023-07-14,201195.03985140007,109784.03985140006,91411.00000000001,0.4543402266155018,12
2023-07-17,200774.03985140007,109784.03985140006,90990.00000000001,0.4531960410187737,12
2023-07-18,200683.03985140007,109784.03985140006,90899.00000000001,0.4529480920126986,12
2023-07-19,201387.03985140007,109784.03985140006,91603.00000000001,0.45486045213034687,12
2023-07-20,200936.03985140007,109784.03985140006,91152.00000000001,0.453636888969298,12
2023-07-21,200791.03985140007,109784.03985140006,91007.00000000001,0.4532423362484292,12
2023-07-24,200257.03985140007,109784.03985140006,90473.00000000001,0.45178436706712105,12
2023-07-25,203253.03985140007,109784.03985140006,93469.00000000001,0.45986520087638516,12
2023-07-26,203366.03985140007,109784.03985140006,93582.00000000001,0.4601653258743719,12
2023-07-27,203448.03985140007,109784.03985140006,93664.00000000001,0.4603829069496707,12
2023-07-28,206593.03985140007,109784.03985140006,96809.00000000001,0.4685975871676683,12
2023-07-31,207211.03985140007,109784.03985140006,97427.00000000001,0.47018247710097444,12
2023-08-01,206796.03985140007,109784.03985140006,97012.00000000001,0.46911923492205704,12
2023-08-02,205924.73005600006,103142.73005600006,102782.0,0.49912412157611674,13
2023-08-03,206901.73005600006,103142.73005600006,103759.0,0.5014892817566898,13
2023-08-04,207074.73005600006,103142.73005600006,103932.0,0.5019057611321924,13
2023-08-07,206293.73005600006,103142.73005600006,103151.0,0.5000200440992504,13
2023-08-08,206036.73005600006,103142.73005600006,102894.0,0.49939639389556306,13
2023-08-09,205909.73005600006,103142.73005600006,102767.0,0.49908763404260237,13
2023-08-10,206181.73005600006,103142.73005600006,103039.0,0.49974844993304723,13
2023-08-11,203247.73005600006,103142.73005600006,100105.0,0.4925270258733933,13
2023-08-14,202460.73005600006,103142.73005600006,99318.0,0.49055439033796294,13
2023-08-15,202985.73005600006,103142.73005600006,99843.0,0.49187201470987707,13
2023-08-16,202752.73005600006,103142.73005600006,99610.0,0.4912880826437594,13
2023-08-17,202417.73005600006,103142.73005600006,99275.0,0.49044616779634365,13
2023-08-18,201711.73005600006,103142.73005600006,98569.0,0.48866270678772555,13
2023-08-21,200034.73005600006,103142.73005600006,96892.0,0.4843758879914249,13
2023-08-22,200472.73005600006,103142.73005600006,97330.0,0.4855024420169857,13
2023-08-23,199524.73005600006,103142.73005600006,96382.0,0.48305791453996066,13
2023-08-24,199634.73005600006,103142.73005600006,96492.0,0.4833427529014254,13
2023-08-25,199812.73005600006,103142.73005600006,96670.0,0.48380300881183597,13
2023-08-28,201252.73005600006,103142.73005600006,98110.0,0.48749649245851306,13
2023-08-29,200866.73005600006,103142.73005600006,97724.0,0.4865116287438707,13
2023-08-30,200226.73005600006,103142.73005600006,97084.0,0.48487032661846513,13
2023-08-31,199988.73005600006,103142.73005600006,96846.0,0.48425728776257326,13
2023-09-01,201157.73005600006,103142.73005600006,98015.0,0.4872544543663011,13
2023-09-04,202906.92526600006,109908.92526600006,92998.0,0.4583283684284537,12
2023-09-05,201975.92526600006,109908.92526600006,92067.0,0.45583155457141133,12
2023-09-06,202059.92526600006,109908.92526600006,92151.0,0.4560577753292178,12
2023-09-07,201288.92526600006,109908.92526600006,91380.0,0.45397430523931115,12
2023-09-08,200996.92526600006,109908.92526600006,91088.0,0.4531810617473566,12
2023-09-11,201406.92526600006,109908.92526600006,91498.0,0.4542942099888458,12
2023-09-12,201738.92526600006,109908.92526600006,91830.0,0.45519227327556555,12
2023-09-13,201414.92526600006,109908.92526600006,91506.0,0.4543158848786998,12
2023-09-14,201967.92526600006,109908.92526600006,92059.0,0.4558099999232775,12
2023-09-15,201147.92526600006,109908.92526600006,91239.0,0.4535915539737465,12
2023-09-18,201229.92526600006,109908.92526600006,91321.0,0.4538142121718993,12
2023-09-19,201610.92526600006,109908.92526600006,91702.0,0.4548463823525974,12
2023-09-20,201361.92526600006,109908.92526600006,91453.0,0.45417225664280947,12
2023-09-21,200949.92526600006,109908.92526600006,91041.0,0.4530531667503127,12
2023-09-22,202386.92526600006,109908.92526600006,92478.0,0.4569366320401124,12
2023-09-25,201736.92526600006,109908.92526600006,91828.0,0.45518687210544256,12
2023-09-26,201366.92526600006,109908.92526600006,91458.0,0.45418580970626904,12
2023-09-27,201425.92526600006,109908.92526600006,91517.0,0.4543456850410096,12
2023-09-28,201032.92526600006,109908.92526600006,91124.0,0.4532789834273553,12
2023-10-09,200711.92526600006,109908.92526600006,90803.0,0.45240460864326,12
2023-10-10,199723.92526600006,109908.92526600006,89815.0,0.44969574817028507,12
2023-10-11,199397.92526600006,109908.92526600006,89489.0,0.4487960437934358,12
2023-10-12,200416.92526600006,109908.92526600006,90508.0,0.45159858569766376,12
2023-10-13,199633.92526600006,109908.92526600006,89725.0,0.4494476571577045,12
2023-10-16,199495.92526600006,109908.92526600006,89587.0,0.44906681617956956,12
2023-10-17,199910.92526600006,109908.92526600006,90002.0,0.4502105119079609,12
2023-10-18,199172.92526600006,109908.92526600006,89264.0,0.4481733643304473,12
2023-10-19,197165.92526600006,109908.92526600006,87257.0,0.44255618653314477,12
2023-10-20,196918.41877640007,115677.41877640007,81241.0,0.4125617121283549,11
2023-10-23,196010.41877640007,115677.41877640007,80333.0,0.4098404589994795,11
2023-10-24,196471.4983220001,122532.49832200007,73939.00000000001,0.3763344842966499,10
2023-10-25,196690.21610670007,118427.21610670007,78263.0,0.3978998119435898,10
2023-10-26,197126.21610670007,118427.21610670007,78699.0,0.3992315256404149,10
2023-10-27,197997.21610670007,118427.21610670007,79570.0,0.401874337248863,10
2023-10-30,197219.21610670007,118427.21610670007,78792.0,0.39951482190950266,10
2023-10-31,196711.21610670007,118427.21610670007,78284.0,0.39796408943726524,10
2023-11-01,196750.21610670007,118427.21610670007,78323.0,0.3980834255222595,10
2023-11-02,197070.21610670007,118427.21610670007,78643.0,0.3990608096629893,10
2023-11-03,196905.21610670007,118427.21610670007,78478.0,0.39855724267595793,10
2023-11-06,197759.21610670007,118427.21610670007,79332.0,0.401154502742349,10
2023-11-07,197282.21610670007,118427.21610670007,78855.0,0.39970658053309416,10
2023-11-08,196802.21610670007,118427.21610670007,78375.0,0.3982424667286648,10
2023-11-09,196397.21610670007,118427.21610670007,77970.0,0.3970015540222317,10
2023-11-10,195689.21610670007,118427.21610670007,77262.0,0.39481991668806465,10
2023-11-13,195198.21610670007,118427.21610670007,76771.0,0.39329765164470104,10
2023-11-14,195174.21610670007,118427.21610670007,76747.0,0.3932230472392064,10
2023-11-15,195898.21610670007,118427.21610670007,77471.0,0.3954655715588742,10
2023-11-16,195463.21610670007,118427.21610670007,77036.0,0.39412019066517023,10
2023-11-17,195137.21610670007,118427.21610670007,76710.0,0.39310799616027803,10
2023-11-20,195771.21610670007,118427.21610670007,77344.0,0.39507340015626013,10
2023-11-21,195942.21610670007,118427.21610670007,77515.0,0.3956013233911232,10
2023-11-22,195620.21610670007,118427.21610670007,77193.0,0.39460645497853586,10
2023-11-23,195891.21610670007,118427.21610670007,77464.0,0.3954439690537533,10
2023-11-24,195756.21610670007,118427.21610670007,77329.0,0.3950270470994933,10
2023-11-27,194989.21610670007,118427.21610670007,76562.0,0.3926473552163239,10
2023-11-28,194974.21610670007,118427.21610670007,76547.0,0.3926006296038112,10
2023-11-29,194334.5765923001,121583.57659230007,72751.00000000001,0.37435952611061263,10
2023-11-30,194544.98711940006,117093.98711940007,77450.99999999999,0.39811357335290887,10
2023-12-01,194402.98711940006,117093.98711940007,77308.99999999999,0.39767393055806133,10
2023-12-04,194219.98711940006,117093.98711940007,77125.99999999999,0.3971064005507603,10
2023-12-05,192821.9871194001,117093.98711940007,75728.00000000001,0.3927352950320307,10
2023-12-06,192483.98711940006,117093.98711940007,75389.99999999999,0.3916689441456483,10
2023-12-07,192639.98711940006,117093.98711940007,75545.99999999999,0.39216157107182464,10
2023-12-08,192776.77722540006,141077.77722540006,51699.0,0.2681806426276754,8
2023-12-11,193325.77722540006,141077.77722540006,52248.0,0.27025883847389703,8
2023-12-12,193437.77722540006,141077.77722540006,52360.0,0.2706813568219842,8
2023-12-13,193160.77722540006,141077.77722540006,52083.0,0.26963548577579055,8
2023-12-14,193110.77722540006,141077.77722540006,52033.0,0.2694463807126972,8
2023-12-15,192723.77722540006,141077.77722540006,51646.0,0.26797938865424703,8
2023-12-18,192969.77722540006,141077.77722540006,51892.0,0.26891257660201934,8
