date,ts_code,name,bucket,intended_action,intended_signal_level,intended_target_weight,current_weight,close,stock_valuation_quantile,stock_valuation_quantile_source_field,industry_valuation_quantile,industry_valuation_quantile_source_field,valuation_fallback_used,valuation_fallback_reason,reason_code,reason_detail,lot_notional,minimum_lot_order_value,max_single_position_value,remaining_single_name_capacity,execution_eligible_for_new_buy,execution_ineligible_reason,pending_add_state,pending_reason,pending_until_condition,repeated_blocked_signal_suppressed,user_visible_action,rule_path
2023-09-28,601336.sh,新华保险,defensive_dividend,BUY_1,BUY_1,0.04,0.0,32.78,22.121310881767158,stock_pb_q_blended,21.40416918293856,industry_pb_q_blended,False,,CASH_INSUFFICIENT_FOR_ONE_LOT,买入请求不满足 100 股整手、现金或单票上限。,3278.0,3278.0,24123.951031920005,24123.951031920005,False,CASH_INSUFFICIENT_FOR_ONE_LOT,False,,,True,False,hard_filter -> bucket -> valuation -> market_state -> grid -> account_constraints
2023-09-28,601601.sh,中国太保,defensive_dividend,BUY_1,BUY_1,0.04,0.0,26.49,30.950278467422667,stock_pb_q_blended,21.40416918293856,industry_pb_q_blended,False,,CASH_INSUFFICIENT_FOR_ONE_LOT,买入请求不满足 100 股整手、现金或单票上限。,2649.0,2649.0,24123.951031920005,24123.951031920005,False,CASH_INSUFFICIENT_FOR_ONE_LOT,False,,,False,True,hard_filter -> bucket -> valuation -> market_state -> grid -> account_constraints
2023-10-09,600926.sh,杭州银行,defensive_dividend,BUY_1,BUY_1,0.04,0.0,9.53,0.14970059880239522,stock_pb_q_blended,36.98054996646546,industry_pb_q_blended,False,,CASH_INSUFFICIENT_FOR_ONE_LOT,买入请求不满足 100 股整手、现金或单票上限。,952.9999999999999,1905.9999999999998,24085.43103192001,24085.43103192001,False,CASH_INSUFFICIENT_FOR_ONE_LOT,False,,,True,False,hard_filter -> bucket -> valuation -> market_state -> grid -> account_constraints
2023-10-09,601336.sh,新华保险,defensive_dividend,BUY_1,BUY_1,0.04,0.0,32.66,21.985069562266712,stock_pb_q_blended,19.81757209926224,industry_pb_q_blended,False,,CASH_INSUFFICIENT_FOR_ONE_LOT,买入请求不满足 100 股整手、现金或单票上限。,3265.9999999999995,3265.9999999999995,24085.43103192001,24085.43103192001,False,CASH_INSUFFICIENT_FOR_ONE_LOT,False,,,True,False,hard_filter -> bucket -> valuation -> market_state -> grid -> account_constraints
2023-10-09,601601.sh,中国太保,defensive_dividend,BUY_1,BUY_1,0.04,0.0,26.35,30.007377598926897,stock_pb_q_blended,19.81757209926224,industry_pb_q_blended,False,,CASH_INSUFFICIENT_FOR_ONE_LOT,买入请求不满足 100 股整手、现金或单票上限。,2635.0,2635.0,24085.43103192001,24085.43103192001,False,CASH_INSUFFICIENT_FOR_ONE_LOT,False,,,True,False,hard_filter -> bucket -> valuation -> market_state -> grid -> account_constraints
2023-10-10,600926.sh,杭州银行,defensive_dividend,BUY_1,BUY_1,0.04,0.0,9.48,0.14947683109118087,stock_pb_q_blended,35.872941386784646,industry_pb_q_blended,False,,CASH_INSUFFICIENT_FOR_ONE_LOT,买入请求不满足 100 股整手、现金或单票上限。,948.0,1896.0,23966.871031920007,23966.871031920007,False,CASH_INSUFFICIENT_FOR_ONE_LOT,False,,,True,False,hard_filter -> bucket -> valuation -> market_state -> grid -> account_constraints
2023-10-10,601336.sh,新华保险,defensive_dividend,BUY_1,BUY_1,0.04,0.0,32.0,21.382580382580382,stock_pb_q_blended,17.96726330137874,industry_pb_q_blended,False,,CASH_INSUFFICIENT_FOR_ONE_LOT,买入请求不满足 100 股整手、现金或单票上限。,3200.0,3200.0,23966.871031920007,23966.871031920007,False,CASH_INSUFFICIENT_FOR_ONE_LOT,False,,,False,True,hard_filter -> bucket -> valuation -> market_state -> grid -> account_constraints
2023-10-10,601601.sh,中国太保,defensive_dividend,BUY_1,BUY_1,0.04,0.0,26.06,27.234721011820962,stock_pb_q_blended,17.96726330137874,industry_pb_q_blended,False,,CASH_INSUFFICIENT_FOR_ONE_LOT,买入请求不满足 100 股整手、现金或单票上限。,2606.0,2606.0,23966.871031920007,23966.871031920007,False,CASH_INSUFFICIENT_FOR_ONE_LOT,False,,,True,False,hard_filter -> bucket -> valuation -> market_state -> grid -> account_constraints
2023-10-11,600926.sh,杭州银行,defensive_dividend,BUY_1,BUY_1,0.04,0.0,9.37,0.1492537313432836,stock_pb_q_blended,37.86536227999643,industry_pb_q_blended,False,,CASH_INSUFFICIENT_FOR_ONE_LOT,买入请求不满足 100 股整手、现金或单票上限。,936.9999999999999,1873.9999999999998,23927.75103192001,23927.75103192001,False,CASH_INSUFFICIENT_FOR_ONE_LOT,False,,,True,False,hard_filter -> bucket -> valuation -> market_state -> grid -> account_constraints
2023-10-11,601336.sh,新华保险,defensive_dividend,BUY_1,BUY_1,0.04,0.0,31.77,21.11327321626325,stock_pb_q_blended,18.50442240686143,industry_pb_q_blended,False,,CASH_INSUFFICIENT_FOR_ONE_LOT,买入请求不满足 100 股整手、现金或单票上限。,3177.0,3177.0,23927.75103192001,23927.75103192001,False,CASH_INSUFFICIENT_FOR_ONE_LOT,False,,,True,False,hard_filter -> bucket -> valuation -> market_state -> grid -> account_constraints
