strategy,execution_mode,start_date,end_date,annual_return,cumulative_return,max_drawdown,sharpe,calmar,volatility,win_rate,profit_factor,total_trades,buy_trades,sell_trades,avg_holding_days,median_holding_days,avg_daily_exposure,max_daily_exposure,exposure_active_days_ratio,avg_positions,max_positions,turnover,total_fees,total_tax,realized_pnl,unrealized_pnl,benchmark_annual_return,excess_annual_return,benchmark_max_drawdown,information_ratio,defensive_trade_count,cyclical_trade_count,defensive_pnl,cyclical_pnl
baseline,next_bar,2023-04-03,2026-04-03,0.0010330595538758924,0.0029790878345001826,-0.016645006857914924,0.10003780660096116,0.06206423119523431,0.010933272207718848,0.0,0.0,7,4,3,7.666666666666667,9.0,0.026587954554173097,0.06850094120868286,0.7176308539944903,0.7493112947658402,2,0.19922648499999998,11.953589099999999,8.307844000000001,-994.3985503999962,1590.2161173000154,0.028884355393731243,-0.02785129583985535,-0.2409363983746401,0.0,1,6,0.0,-994.3985503999962
combined_v2,next_bar,2023-04-03,2026-04-03,0.07135202476872582,0.21964440453100043,-0.09364547429916759,0.7782204340639889,0.7619377797241833,0.09454221111585052,0.5151515151515151,3.7441825827020314,76,43,33,189.9090909090909,155.0,0.46977437700345664,0.7569459961603964,1.0,12.287878787878787,20,2.7762431675,166.57459004999993,132.92600375,38533.829894000024,5395.0510122000705,0.028884355393731243,0.04246766937499458,-0.2409363983746401,0.0,47,29,21983.78771280001,16550.04218120001
