date,nav,cash,invested_value,exposure,holdings_count
2023-04-04,199975.5735702,194463.5735702,5512.0,0.027563366373168828,1
2023-04-06,199779.4620245,186819.4620245,12960.0,0.06487153318297877,2
2023-04-07,200003.07522720002,178831.07522720002,21172.0,0.10585837230727065,3
2023-04-10,200083.07522720002,178831.07522720002,21252.0,0.1062158804579935,3
2023-04-11,199862.07522720002,178831.07522720002,21031.0,0.10522756744165843,3
2023-04-12,199891.07522720002,178831.07522720002,21060.0,0.10535738014347465,3
2023-04-13,199854.84083340003,173534.84083340003,26320.0,0.13169558410616874,4
2023-04-14,200078.84083340003,173534.84083340003,26544.0,0.1326677018391087,4
2023-04-17,200884.47003910004,165566.47003910004,35318.0,0.1758124955758189,5
2023-04-18,201463.47003910004,165566.47003910004,35897.0,0.1781811858647779,5
2023-04-19,201268.47003910004,165566.47003910004,35702.0,0.17738496244873447,5
2023-04-20,201457.47003910004,165566.47003910004,35891.0,0.17815670966697866,5
2023-04-21,200490.47003910004,165566.47003910004,34924.0,0.17419281820821236,5
2023-04-24,200034.47003910004,165566.47003910004,34468.0,0.17231030228571437,5
2023-04-25,199742.56893285003,158185.56893285003,41557.0,0.20805279626683254,6
2023-04-26,199713.56893285003,158185.56893285003,41528.0,0.20793779922866942,6
2023-04-27,200432.56893285003,158185.56893285003,42247.0,0.21077911751035736,6
2023-04-28,201239.25814980004,150292.25814980004,50947.0,0.25316630794810263,7
2023-05-04,201425.25814980004,150292.25814980004,51133.0,0.25385594870119205,7
2023-05-05,201969.89351905003,146083.89351905003,55886.0,0.27670460694048327,8
2023-05-08,203488.89351905003,146083.89351905003,57405.0,0.2821038485553803,8
2023-05-09,202917.89351905003,146083.89351905003,56834.0,0.28008372753319755,8
2023-05-10,201894.89351905003,146083.89351905003,55811.0,0.2764359168635134,8
2023-05-11,201667.89351905003,146083.89351905003,55584.0,0.27562146373462965,8
2023-05-12,200920.89351905003,146083.89351905003,54837.0,0.27292831043875837,8
2023-05-15,201823.89351905003,146083.89351905003,55740.0,0.2761813729192512,8
2023-05-16,201507.89351905003,146083.89351905003,55424.0,0.2750462973539067,8
2023-05-17,200989.89351905003,146083.89351905003,54906.0,0.2731779147631418,8
2023-05-18,200956.89351905003,146083.89351905003,54873.0,0.27305856016727403,8
2023-05-19,200500.89351905003,146083.89351905003,54417.0,0.2714052742853723,8
2023-05-22,201200.89351905003,146083.89351905003,55117.0,0.27394013533434647,8
2023-05-23,200170.89351905003,146083.89351905003,54087.0,0.27020411933592436,8
2023-05-24,199158.89351905003,146083.89351905003,53075.0,0.2664957565398567,8
2023-05-25,199086.89351905003,146083.89351905003,53003.0,0.266230483901384,8
2023-05-26,199182.63443695003,143047.63443695003,56135.0,0.2818267775134241,7
2023-05-29,199351.64291375002,135553.64291375002,63798.0,0.32002746035859037,8
2023-05-30,199043.64291375002,135553.64291375002,63490.0,0.31897527130525644,8
2023-05-31,198506.64291375002,135553.64291375002,62953.0,0.31713296379382483,8
2023-06-01,198371.64291375002,135553.64291375002,62818.0,0.3166682449028898,8
2023-06-02,199484.64291375002,135553.64291375002,63931.0,0.32048081028293224,8
2023-06-05,199166.64291375002,135553.64291375002,63613.0,0.3193958539912122,8
2023-06-06,198954.64291375002,135553.64291375002,63401.0,0.3186706229695043,8
2023-06-07,199265.64291375002,135553.64291375002,63712.0,0.3197339946233333,8
2023-06-08,200144.64291375002,135553.64291375002,64591.0,0.32272160303503467,8
