date,variant,portfolio_full,candidate_symbol,candidate_name,candidate_bucket,candidate_industry,candidate_score,candidate_lot_notional,candidate_lot_fit_status,candidate_structural_lot_block,candidate_account_actionable,candidate_expected_edge_score,weakest_holding_symbol,weakest_holding_name,weakest_holding_bucket,weakest_holding_industry,weakest_holding_score,weakest_holding_unrealized_pnl_pct,weakest_holding_holding_days,weakest_holding_relative_strength,weakest_holding_thesis_still_valid,weakest_holding_fundamental_break,score_gap,score_gap_threshold,min_holding_days_before_replacement,max_replacements_per_month,current_month_replacement_count,replacement_triggered,replacement_pair_id,reason_not_triggered,all_replacement_checks_json,diagnostic_future_return_20d_candidate,diagnostic_future_return_20d_weakest,diagnostic_opportunity_cost_20d,diagnostic_future_return_60d_candidate,diagnostic_future_return_60d_weakest,diagnostic_opportunity_cost_60d,diagnostic_only,trace_quality_flag
2024-10-30,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,True,600803.sh,新奥股份,defensive_dividend,公用事业,75.8575,1729.0,FIT,False,True,75.8575,000651.sz,格力电器,defensive_dividend,家用电器,0.0,0.5649724781670611,380,0.0,False,False,75.8575,8,40,1,0,True,R000001,,"{""mapped_reason"": ""UNKNOWN"", ""raw_reason"": ""RESEARCH_ONLY_SIMULATED_SWITCH""}",0.006940427993059606,-0.08829863603732946,0.09523906403038906,0.14227877385772136,-0.03613304618329738,0.17841182004101874,True,DIAGNOSTIC_ONLY_FUTURE_RETURN
2025-01-13,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,True,300628.sz,亿联网络,defensive_dividend,通信,74.9792,3490.0,FIT,False,True,74.9792,601166.sh,兴业银行,defensive_dividend,银行,0.0,0.3471525107011715,432,0.0,True,False,74.9792,8,40,1,0,False,,NO_WEAK_HOLDING,"{""mapped_reason"": ""NO_WEAK_HOLDING"", ""raw_reason"": ""WEAKEST_HOLDING_NOT_WEAK_ENOUGH""}",0.10515759312320916,0.09960384833050351,0.0055537447927056505,-0.0805157593123208,0.10413129598189008,-0.18464705529421088,True,DIAGNOSTIC_ONLY_FUTURE_RETURN
