date,variant,profile_name,market_regime,nav,previous_nav,daily_return,cumulative_return,cash,cash_ratio,reserved_cash,gross_exposure,net_exposure,positions_count,max_positions,average_position_weight,largest_position_weight,industry_count,largest_industry_weight,defensive_dividend_weight,cyclical_rotation_weight,realized_pnl_today,unrealized_pnl_today,total_pnl_today,fees_today,tax_today,slippage_today,turnover_today,buy_count_today,sell_count_today,reduce_count_today,replacement_count_today,raw_buy_count_today,account_actionable_buy_count_today,executable_buy_count_today,watch_only_count_today,top_watch_only_reason_today,no_trade_reason_today,risk_on_cash_drag_reason,trace_quality_flag
2023-04-03,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,combined_v2_50k_core,risk_on,49963.3603553,50000.0,-0.0007327928939999673,-0.0007327928939999673,41695.3603553,0.8345187365060215,4996.33603553,0.16548126349397854,0.16548126349397854,1,5,0.16548126349397854,0.16548126349397854,1,0.16548126349397854,0.16548126349397854,0.0,0.0,-34.14900000000003,-36.639644700000645,2.4906447,0.0,4.148999999999603,8302.149,1,0,0,0,1,1,1,0,,TRADE_EXECUTED,UNKNOWN,PARTIALLY_SUPPORTED_AVG_COST_FIFO_APPROX
2023-04-04,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,combined_v2_50k_core,risk_on,49819.3603553,49963.3603553,-0.00288211199118682,-0.003612792893999961,41695.3603553,0.8369308649877972,4981.9360355300005,0.16306913501220283,0.16306913501220283,1,5,0.16306913501220283,0.1630691350122028,1,0.1630691350122028,0.1630691350122028,0.0,0.0,-144.00000000000014,-144.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,NO_RAW_SIGNAL,NO_RAW_SIGNAL,FULLY_SUPPORTED
2023-04-06,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,combined_v2_50k_core,neutral,49952.32538635,49819.3603553,0.0026689429591573166,-0.0009534922730000117,37899.32538635,0.7587099317844048,4995.232538635,0.2412900682155952,0.2412900682155952,2,5,0.1206450341077976,0.16467701826445583,2,0.16467701826445583,0.2412900682155952,0.0,0.0,134.10350000000125,132.9650310500001,1.13846895,0.0,1.8965000000001453,3794.8965000000003,1,0,0,0,1,1,1,0,,TRADE_EXECUTED,UNKNOWN,PARTIALLY_SUPPORTED_AVG_COST_FIFO_APPROX
2023-04-07,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,combined_v2_50k_core,risk_on,50025.32538635,49952.32538635,0.0014613934273408624,0.0005065077269998941,37899.32538635,0.7576027760669255,5002.5325386350005,0.24239722393307456,0.24239722393307456,2,5,0.12119861196653728,0.16503640778422096,2,0.16503640778422096,0.24239722393307456,0.0,0.0,72.99999999999933,73.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,NO_RAW_SIGNAL,NO_RAW_SIGNAL,FULLY_SUPPORTED
2023-04-10,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,combined_v2_50k_core,risk_on,49832.32538635,50025.32538635,-0.0038580458699557507,-0.0033534922729999694,37899.32538635,0.7605369625542566,4983.232538635,0.2394630374457434,0.2394630374457434,2,5,0.1197315187228717,0.16260529560235137,2,0.16260529560235137,0.2394630374457434,0.0,0.0,-192.99999999999997,-193.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,NO_RAW_SIGNAL,NO_RAW_SIGNAL,FULLY_SUPPORTED
2023-04-11,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,combined_v2_50k_core,neutral,49829.32538635,49832.32538635,-6.020188656141734e-05,-0.0034134922730000294,37899.32538635,0.7605827510707571,4982.932538635,0.2394172489292429,0.2394172489292429,2,5,0.11970862446462145,0.16267529084831878,2,0.16267529084831878,0.2394172489292429,0.0,0.0,-3.0000000000001137,-3.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,NO_RAW_SIGNAL,NO_RAW_SIGNAL,FULLY_SUPPORTED
2023-04-12,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,combined_v2_50k_core,neutral,49862.32538635,49829.32538635,0.0006622606215143101,-0.0027534922730000355,37899.32538635,0.7600793804278748,4986.232538635,0.2399206195721252,0.2399206195721252,2,5,0.1199603097860626,0.16419210168327253,2,0.16419210168327253,0.23992061957212524,0.0,0.0,32.999999999999474,33.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1,WATCH_ONLY_CYCLICAL_DISABLED,MARKET_REGIME_BLOCK,CYCLICAL_DISABLED_OR_BLOCKED,FULLY_SUPPORTED
2023-04-13,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,combined_v2_50k_core,neutral,50013.32538635,49862.32538635,0.003028338506678274,0.00026650772700009817,37899.32538635,0.7577845522884139,5001.332538635001,0.2422154477115861,0.2422154477115861,2,5,0.12110772385579305,0.1659757661758194,2,0.1659757661758194,0.24221544771158612,0.0,0.0,151.00000000000122,151.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1,WATCH_ONLY_CYCLICAL_DISABLED,MARKET_REGIME_BLOCK,CYCLICAL_DISABLED_OR_BLOCKED,FULLY_SUPPORTED
2023-04-14,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,combined_v2_50k_core,neutral,50455.32538635,50013.32538635,0.008837644699399183,0.009106507727000057,37899.32538635,0.7511461891513863,5045.5325386350005,0.24885381084861372,0.24885381084861372,2,5,0.12442690542430686,0.16933792289666738,2,0.16933792289666738,0.2488538108486137,0.0,0.0,441.9999999999991,442.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1,WATCH_ONLY_CYCLICAL_DISABLED,MARKET_REGIME_BLOCK,CYCLICAL_DISABLED_OR_BLOCKED,FULLY_SUPPORTED
2023-04-17,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,combined_v2_50k_core,risk_on,50713.32538635,50455.32538635,0.005113434469492084,0.014266507726999889,37899.32538635,0.7473247927959973,5071.332538635001,0.25267520720400277,0.25267520720400277,2,5,0.12633760360200139,0.1713159201021052,2,0.1713159201021052,0.25267520720400277,0.0,0.0,258.0000000000002,258.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1,WATCH_ONLY_CYCLICAL_DISABLED,MARKET_REGIME_BLOCK,CYCLICAL_DISABLED_OR_BLOCKED,FULLY_SUPPORTED
2023-04-18,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,combined_v2_50k_core,risk_on,50637.32538635,50713.32538635,-0.0014986199272283285,0.012746507726999923,37899.32538635,0.7484464295297535,5063.732538635,0.25155357047024657,0.25155357047024657,2,5,0.12577678523512328,0.17050663584865042,2,0.17050663584865042,0.25155357047024657,0.0,0.0,-75.99999999999983,-76.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1,WATCH_ONLY_CYCLICAL_DISABLED,MARKET_REGIME_BLOCK,CYCLICAL_DISABLED_OR_BLOCKED,FULLY_SUPPORTED
