date,variant,market_regime,cash_ratio,gross_exposure,positions_count,max_positions,raw_buy_count,account_actionable_buy_count,portfolio_actionable_buy_count,executable_buy_count,watch_only_count,replacement_candidate_count,replacement_triggered_count,top_expected_edge_candidate,top_expected_edge_score,top_candidate_failure_reason,reason_cash_not_deployed,deployable_cash_estimate,target_cash_ratio,cash_gap_to_target,trace_quality_flag
2023-04-03,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,risk_on,0.8345187365060215,0.16548126349397854,1,5,1,1,1,1,0,0,0,600036.sh,79.8999,NONE,UNKNOWN,24208.184230945,0.35,0.4845187365060215,FULLY_SUPPORTED_FROM_SIGNAL_TRACE
2023-04-04,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,risk_on,0.8369308649877972,0.16306913501220283,1,5,0,0,0,0,0,0,0,,,,NO_RAW_SIGNAL,24258.584230945,0.35,0.48693086498779725,FULLY_SUPPORTED_FROM_SIGNAL_TRACE
2023-04-07,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,risk_on,0.7576027760669255,0.24239722393307456,2,5,0,0,0,0,0,0,0,,,,NO_RAW_SIGNAL,20390.461501127502,0.35,0.4076027760669255,FULLY_SUPPORTED_FROM_SIGNAL_TRACE
2023-04-10,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,risk_on,0.7605369625542566,0.2394630374457434,2,5,0,0,0,0,0,0,0,,,,NO_RAW_SIGNAL,20458.0115011275,0.35,0.41053696255425665,FULLY_SUPPORTED_FROM_SIGNAL_TRACE
2023-04-17,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,risk_on,0.7473247927959973,0.25267520720400277,2,5,1,0,0,0,1,0,0,000877.sz,59.7279,MARKET_REGIME_BLOCK,CYCLICAL_DISABLED_OR_BLOCKED,20149.661501127503,0.35,0.3973247927959973,FULLY_SUPPORTED_FROM_SIGNAL_TRACE
2023-04-18,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,risk_on,0.7484464295297535,0.25155357047024657,2,5,1,0,0,0,1,0,0,000877.sz,59.6892,MARKET_REGIME_BLOCK,CYCLICAL_DISABLED_OR_BLOCKED,20176.2615011275,0.35,0.3984464295297535,FULLY_SUPPORTED_FROM_SIGNAL_TRACE
2023-04-19,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,risk_on,0.7501352117370593,0.2498647882629407,2,5,0,0,0,0,0,0,0,,,,NO_RAW_SIGNAL,20216.161501127503,0.35,0.40013521173705935,FULLY_SUPPORTED_FROM_SIGNAL_TRACE
2023-04-20,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,risk_on,0.7553981301969189,0.2446018698030811,2,5,1,0,0,0,1,0,0,000877.sz,60.2842,MARKET_REGIME_BLOCK,CYCLICAL_DISABLED_OR_BLOCKED,20339.3615011275,0.35,0.40539813019691895,FULLY_SUPPORTED_FROM_SIGNAL_TRACE
2023-07-28,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,risk_on,0.43353125874584536,0.5664687412541547,5,5,0,0,0,0,0,0,0,,,,NO_RAW_SIGNAL,4450.920819395,0.35,0.08353125874584538,FULLY_SUPPORTED_FROM_SIGNAL_TRACE
2023-07-31,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,risk_on,0.4356652497546972,0.5643347502453028,5,5,0,0,0,0,0,0,0,,,,NO_RAW_SIGNAL,4542.270819395002,0.35,0.08566524975469725,FULLY_SUPPORTED_FROM_SIGNAL_TRACE
