control_id,profile,execution_mode,annual_return,cumulative_return,max_drawdown,sharpe,calmar,volatility,total_trades,buy_trades,sell_trades,avg_daily_exposure,max_daily_exposure,avg_positions,max_positions,turnover,raw_signal_count,executable_signal_count,total_fees,total_tax,total_slippage,realized_pnl,unrealized_pnl,benchmark_annual_return,excess_annual_return,defensive_pnl,cyclical_pnl
baseline_combined_next_bar,baseline,next_bar,0.0010330595538758,0.0029790878345001,-0.0166450068579149,0.1000378066009611,0.0620642311952343,0.0109332722077188,7,4,3,0.026587954554173,0.0685009412086828,0.7493112947658402,2,0.1992264849999999,,,11.9535891,8.307844000000001,19.920999999997942,-994.3985503999962,1590.2161173000154,0.0288843553937312,-0.0278512958398553,1597.1850000000006,-994.3985503999962
combined_v2_next_bar,combined_v2,next_bar,0.0713520247687258,0.2196444045310004,-0.0936454742991675,0.7782204340639889,0.7619377797241833,0.0945422111158505,76,43,33,0.4697743770034566,0.7569459961603964,12.287878787878787,20,2.7762431675,,,166.57459004999993,132.92600375,277.61849999997116,38533.829894000024,5395.0510122000705,0.0288843553937312,0.0424676693749945,27465.657712800017,16550.04218120001
v2_universe_equal_weight_monthly,combined_v2,next_bar,-0.0133238501767238,-0.0379062624662532,-0.2390102014434587,-0.077076154168113,-0.0557459476468238,0.1119346591537682,257,132,125,0.5406852617427352,0.8755522507562135,15.787878787878787,26,8.542522857849333,,,512.5513714709599,391.6383772063233,854.2170115734134,-3197.528898103538,-4106.155249999994,0.0288843553937312,-0.0422082055704551,-3796.59704589631,-3507.0871022072174
v2_top_score_monthly,combined_v2,next_bar,0.0333000114827861,0.0989696012890704,-0.1942924823447485,0.3009318632239355,0.1713911474129983,0.1280447486075271,359,187,172,0.6187512801647354,0.88794785717906,15.43801652892562,20,14.725260211018282,,,883.5156126610966,701.2574338770021,1472.4913836478358,28965.69391014897,-8709.012499999993,0.0288843553937312,0.0044156560890549,11862.23445640007,8394.446953748888
v2_defensive_only,combined_v2,next_bar,0.0582468030566816,0.1771556075800002,-0.0795347902529463,0.7456051222485655,0.7323437060868331,0.080490024414596,43,27,16,0.3833960119128665,0.5590819518414771,10.110192837465563,15,1.769456525,,,106.1673915,77.77609250000002,176.93499999998073,30469.095152000013,4962.02636400003,0.0288843553937312,0.0293624476629503,35490.62325200001,0.0
v2_cyclical_only,combined_v2,next_bar,0.0280956530087395,0.0830986296642497,-0.0296000695260141,0.8186405330252973,0.9491752370394786,0.0346287626568037,30,16,14,0.1517283201823374,0.3134457136595374,4.1115702479338845,9,0.89802289,,,53.881373399999994,45.589693749999995,89.80299999999173,14312.065990000006,2307.659942849943,0.0288843553937312,-0.0007887023849917,0.0,16646.253490000006
v2_no_high_dividend_supplement,combined_v2,next_bar,0.0811138426163484,0.2519355488372501,-0.0734687462155468,0.975635883527398,1.104059165217982,0.0836975562191287,60,34,26,0.4645627536233103,0.711698858792402,11.552341597796143,19,2.2018093425,,,132.10856054999996,109.601172,220.18049999997925,44042.53362480002,6344.576142650003,0.0288843553937312,0.0522294872226172,32702.63649240001,17750.821132400008
v2_no_grid,combined_v2,next_bar,0.0579638442263716,0.1762490465935005,-0.0936454742991675,0.6313511979193189,0.6189711212438904,0.0969591045302954,75,43,32,0.4862418440910322,0.7908027482980302,12.285123966942148,20,2.688703605,,,161.32221629999995,125.007465,268.8609999999723,29431.781556000016,5818.0277627000905,0.0288843553937312,0.0290794888326404,24232.89780080001,11103.229255200004
v2_no_trend_stop,combined_v2,next_bar,0.0823014184705734,0.2559015839972505,-0.0882125314803792,0.7843176159958161,0.932990098905386,0.1086032675288742,54,34,20,0.5520020996467301,0.7545079658932085,15.27961432506887,20,2.1423364175,,,128.54018505,94.9215155,214.22149999997905,45851.27257520002,5329.044224250065,0.0288843553937312,0.0534170630768422,37197.27530520002,14054.628770000005
v2_risk_off_no_new_buy,combined_v2,next_bar,0.066765519959709,0.2046624291562502,-0.0922527384368103,0.752133564574249,0.7237239901061678,0.091767684463736,72,41,31,0.4583451084191053,0.7386191913298529,12.104683195592289,20,2.64229295,,,158.537577,125.75359175,264.22299999997483,35674.21575320001,5258.270078050016,0.0288843553937312,0.0378811645659777,24597.69405000001,16417.87720320001
v2_no_market_state_filter,combined_v2,next_bar,0.08297952901742378,0.2581698805857502,-0.12415149739349807,0.788070212503069,0.6683731631074914,0.10892777956345633,81,47,34,0.5087651840996128,0.7905230683522741,13.28099173553719,20,3.125231935,420.0,81.0,187.5139161,152.98996675,312.5199999999717,44145.019853200014,7488.956263950029,0.028884355393731243,0.05409517362369254,31166.807342800006,20562.888710400013
v2_relaxed_account_constraints_research_only,combined_v2,next_bar,0.06994879093015105,0.21504785369623014,-0.09706266899876592,0.6894826125078354,0.7206559602336959,0.10660431698510821,79,46,33,0.5614071598802585,0.8657223247641109,13.921487603305785,22,3.126434052025,299.0,79.0,187.58604312149998,142.71334263250003,312.62987499996643,32266.291996030017,10743.278743216015,0.028884355393731243,0.04106443553641981,33826.99478235757,9284.533994430467
v2_no_industry_cap,combined_v2,next_bar,0.06614657731634388,0.20264988287725028,-0.09092796498535616,0.692935414077359,0.7274613187152787,0.09975037121296926,84,48,36,0.5419144214785381,0.7565796827847879,14.203856749311294,20,3.131765604999999,545.0,85.0,187.90593629999995,147.94948825000003,313.1679999999657,34543.76331880003,5986.213256650008,0.028884355393731243,0.03726222192261264,25501.906445600027,15127.206373200006
