annual_return,cumulative_return,max_drawdown,sharpe,calmar,volatility,total_trades,buy_trades,sell_trades,avg_daily_exposure,max_daily_exposure,exposure_active_days_ratio,avg_positions,max_positions,turnover,total_fees,total_tax,total_slippage,realized_pnl,unrealized_pnl,profit_factor,profile,execution_mode,benchmark_annual_return,excess_annual_return,defensive_pnl,cyclical_pnl,control_id,seed,row_type
0.019486014677591257,0.05717296143160833,-0.21611511989670995,0.19987014230208758,0.09016497636493181,0.1371102880928502,420.0,219.0,201.0,0.6607764793263158,0.9231210691807067,1.0,12.00137741046832,20.0,23.318934861643825,1399.1360916986296,1130.4355340602115,2331.8585579197297,16809.758557583948,-4654.29149999999,1.2153881619538032,random_placebo_from_v2_candidate_pool,next_bar,0.028884355393731243,-0.009398340716139986,14558.49709240013,-2403.0300348161823,random_placebo_seed_0,0,seed
0.01542429881403895,0.04508419530750207,-0.2264429089947524,0.17129240958200778,0.06811561855706594,0.14866873862232985,423.0,216.0,207.0,0.6534246275667583,0.9406520204225061,1.0,12.052341597796143,20.0,23.316466725000005,1398.9880034999999,1123.567935,2331.6049999997167,12423.261804000264,-2681.5754999999886,1.1409911431865027,random_placebo_from_v2_candidate_pool,next_bar,0.028884355393731243,-0.013460056579692292,5209.41346880012,4532.272835200158,random_placebo_seed_1,1,seed
0.0717277283279405,0.22087701441825125,-0.1462374828224654,0.5586117176780381,0.4904879853205562,0.14048121981329997,437.0,225.0,212.0,0.6551267663649964,0.9359740165747964,1.0,12.023415977961433,20.0,26.501610434999996,1590.0966260999999,1289.37449025,2650.1259999996964,49132.83631560029,-4140.961499999989,1.5682128091710794,random_placebo_from_v2_candidate_pool,next_bar,0.028884355393731243,0.042843372934209256,16989.92135000012,28001.95346560018,random_placebo_seed_2,2,seed
0.029389490496890547,0.0870301832342526,-0.19102860187048598,0.26057323041710445,0.15384863946612615,0.15282456425954988,429.0,223.0,206.0,0.6616579853474371,0.9452892014939315,1.0,11.893939393939394,20.0,23.925277039999997,1435.5166224,1152.9617307500002,2392.4849999997227,22193.350230800253,-4043.573999999994,1.257418273305302,random_placebo_from_v2_candidate_pool,next_bar,0.028884355393731243,0.0005051351031593043,7469.02042320009,10680.75580760018,random_placebo_seed_3,3,seed
0.007427366567291704,0.02154768517698291,-0.19811484899988052,0.12594331459435212,0.03749020633630639,0.1498389211656204,415.0,214.0,201.0,0.6449872972427396,0.923052961794752,1.0,11.917355371900827,20.0,22.134170264454557,1328.0502158672734,1069.3147387202239,2213.38018601575,10904.052908031881,-5908.054499999984,1.1330662103215026,random_placebo_from_v2_candidate_pool,next_bar,0.028884355393731243,-0.021456988826439538,7256.436283600116,-2260.4378755682073,random_placebo_seed_4,4,seed
0.06397827342649198,0.19561677071116512,-0.16227159605394748,0.4956355945705254,0.3942666183256267,0.1483767643118218,432.0,222.0,210.0,0.6623019589740322,0.9414015037252889,1.0,12.071625344352617,20.0,25.8167628257612,1549.0057695456717,1253.0304888882267,2581.639120333207,46418.31861844563,-6497.776999999979,1.5658415119195879,random_placebo_from_v2_candidate_pool,next_bar,0.028884355393731243,0.03509391803276074,10271.112399600112,29649.429218845526,random_placebo_seed_5,5,seed
0.05753328607361907,0.17487047247806187,-0.15187518939864886,0.4368358350051422,0.3788195181940027,0.14995910190813586,425.0,223.0,202.0,0.662423084134214,0.9593423781068051,1.0,12.023415977961433,20.0,24.734353853216035,1484.0612311929622,1196.0724997174325,2473.395358477219,37689.5537269749,-1949.0414999999875,1.4124685713329834,random_placebo_from_v2_candidate_pool,next_bar,0.028884355393731243,0.02864893067988783,9406.78868120012,26333.723545774785,random_placebo_seed_6,6,seed
0.02264845854125519,0.06664819614961259,-0.18384378170438898,0.23138769982849125,0.12319404187231477,0.14352889823577894,423.0,220.0,203.0,0.6567153812942211,0.98790601857927,1.0,11.96831955922865,20.0,22.92143627106573,1375.2861762639436,1112.5036708225384,2292.1106319912315,20882.851703692693,-6845.4284999999845,1.262537543981267,random_placebo_from_v2_candidate_pool,next_bar,0.028884355393731243,-0.006235896852476053,5473.070782000119,8564.352421692594,random_placebo_seed_7,7,seed
0.03055083125271607,0.09056704697024887,-0.17510973559168663,0.28522284640372997,0.17446677735813151,0.13844569632155876,396.0,205.0,191.0,0.660825224578771,0.8875407330249985,1.0,11.980716253443527,20.0,22.331752435169946,1339.9051461101967,1079.253013646949,2233.13846719324,22942.72323197162,-4136.9604999999865,1.292780737425274,random_placebo_from_v2_candidate_pool,next_bar,0.028884355393731243,0.0016664758589848283,7010.901336000096,11794.861395971544,random_placebo_seed_8,8,seed
0.037924102179365704,0.11319773831326074,-0.15920114936585283,0.3272757162206286,0.23821500240688634,0.14770591178451326,433.0,222.0,211.0,0.6553352193150903,0.9694962960154682,1.0,11.891184573002755,20.0,24.780896281445678,1486.8537768867407,1200.136948669336,2478.051339791713,27186.64227033734,-3780.3229999999835,1.3095487351559962,random_placebo_from_v2_candidate_pool,next_bar,0.028884355393731243,0.009039746785634462,-5896.113101599876,29302.43237193723,random_placebo_seed_9,9,seed
