segment_name,requested_start,requested_end,actual_start,actual_end,profile,execution_mode,annual_return,cumulative_return,max_drawdown,sharpe,calmar,volatility,total_trades,buy_trades,sell_trades,avg_daily_exposure,max_daily_exposure,avg_positions,max_positions,turnover,benchmark_annual_return,excess_annual_return,defensive_pnl,cyclical_pnl,defensive_trade_count,cyclical_trade_count
full,2023-04-03,2026-04-03,2023-04-03,2026-04-03,combined_v2,next_bar,0.07135202476872582,0.21964440453100043,-0.09364547429916759,0.7782204340639889,0.7619377797241833,0.09454221111585052,76,43,33,0.46977437700345664,0.7569459961603964,12.287878787878787,20,2.7762431675,0.028884355393731243,0.04246766937499458,21983.78771280001,16550.04218120001,47,29
full,2023-04-03,2026-04-03,2023-04-03,2026-04-03,baseline,next_bar,0.0010330595538758924,0.0029790878345001826,-0.016645006857914924,0.10003780660096116,0.06206423119523431,0.010933272207718848,7,4,3,0.026587954554173097,0.06850094120868286,0.7493112947658402,2,0.19922648499999998,0.028884355393731243,-0.02785129583985535,0.0,-994.3985503999962,1,6
year_2023_2024,2023-04-03,2024-04-03,2023-04-03,2024-04-03,combined_v2,next_bar,-0.02368591995336433,-0.02284973467249951,-0.07900934640631774,-0.4096171584486581,-0.29978630416148283,0.0544958700783026,27,18,9,0.3617252837207907,0.498578584180677,8.905349794238683,12,0.9092946625,-0.13169894088938883,0.1080130209360245,-6869.907491999999,-1227.2282155999994,21,6
year_2023_2024,2023-04-03,2024-04-03,2023-04-03,2024-04-03,baseline,next_bar,0.012349649873597546,0.011905975881500108,-0.0032013072416723354,1.7806805573428457,3.8576896690322653,0.006935022804023738,3,2,1,0.006814851021852136,0.06650010715313102,0.205761316872428,2,0.08258534500000002,-0.13169894088938883,0.14404859076298637,0.0,-517.5903247999992,1,2
year_2024_2025,2024-04-03,2025-04-03,2024-04-03,2025-04-03,combined_v2,next_bar,0.09700810357692813,0.0925835173062497,-0.051482876398835975,1.0113549062613818,1.8842790139659227,0.09646742107736103,29,24,5,0.3324716913547596,0.5949316455237744,10.033195020746888,18,1.047656575,0.08586339625790518,0.01114470731902295,8469.261688800003,-2231.108019599998,15,14
year_2024_2025,2024-04-03,2025-04-03,2024-04-03,2025-04-03,baseline,next_bar,-0.0005004653104431211,-0.00047862483125005184,-0.0010286248312501023,-0.8233183461244067,-0.4865382355536747,0.0006103223810186807,3,2,1,0.0010320284505391016,0.029342450810891933,0.03734439834024896,1,0.0862488375,0.08586339625790518,-0.0863638615683483,0.0,-34.55045759999948,0,3
year_2025_2026,2025-04-03,2026-04-03,2025-04-03,2026-04-03,combined_v2,next_bar,0.12128760372129843,0.1162054102894996,-0.020208443100588225,2.429796677968673,6.001828202082921,0.04837871901487894,26,16,10,0.3728021271342178,0.46654454549107377,10.677685950413224,13,0.9523454474999998,0.15598445149407647,-0.03469684777277804,6377.707516800005,14081.975038800001,14,12
year_2025_2026,2025-04-03,2026-04-03,2025-04-03,2026-04-03,baseline,next_bar,-0.0010614507551880425,-0.0010193511689999823,-0.0002764642784844895,0.7383816794322899,-3.8393775897799873,0.0011407029966542133,2,1,1,0.000228389872517742,0.028160926168213137,0.008264462809917356,1,0.056760479999999995,0.15598445149407647,-0.1570459022492645,0.0,-202.13776799999764,0,2
half_2023_h2,2023-04-03,2023-10-03,2023-04-03,2023-09-28,combined_v2,next_bar,0.013364321617370889,0.006447874939000231,-0.036277011121866654,0.25233434678802485,0.36839643631267327,0.06298067867770818,16,14,2,0.39097364932268386,0.498578584180677,9.819672131147541,12,0.5607479575000001,-0.19055773024978961,0.2039220518671605,0.0,-1227.2282155999994,13,3
half_2023_h2,2023-04-03,2023-10-03,2023-04-03,2023-09-28,baseline,next_bar,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,-0.19055773024978961,0.19055773024978961,0.0,0.0,0,0
