cost_profile,annual_return,cumulative_return,max_drawdown,sharpe,total_trades,total_fees,total_tax,total_slippage,net_pnl,benchmark_annual_return,excess_annual_return
normal_cost,0.07135202476872582,0.21964440453100043,-0.09364547429916759,0.7782204340639889,76,166.57459004999993,132.92600375,277.61849999997116,43928.880906200095,0.028884355393731243,0.04246766937499458
double_fee,0.0710204852068308,0.2185573631707498,-0.09384134535616961,0.7757879930753275,76,332.5128620999999,132.92600375,277.08849999997113,43711.47263414998,0.028884355393731243,0.042136129813099554
double_slippage,0.06942606140897145,0.21333845277700036,-0.09275191654560044,0.7508919999507194,72,159.36681509999997,126.7436295,531.1989999999686,42667.69055540007,0.028884355393731243,0.04054170601524021
high_cost,0.06918222769672666,0.21254161870150057,-0.09293254752497504,0.748367370628103,72,318.73363019999994,126.7436295,531.1989999999686,42508.32374030011,0.028884355393731243,0.04029787230299542
sell_tax_stress,0.0712506916340998,0.21931208952162562,-0.09372879379098187,0.7771629209839112,76,166.57459004999993,199.38900562500004,277.61849999997116,43862.41790432512,0.028884355393731243,0.04236633624036856
no_slippage,0.07136061032921015,0.21967256300000004,-0.09331923716321355,0.7783123600909517,76,166.64039999999997,132.847,0.0,43934.51260000002,0.028884355393731243,0.04247625493547891
