date,variant,symbol,bucket,industry,shares,close,market_value,position_weight,unrealized_pnl,future_return_used
2023-04-03,repair_best_baseline,600036.sh,defensive_dividend,银行,300.0,27.56,8268.0,0.16548126349397854,-34.14900000000003,False
2023-04-04,repair_best_baseline,600036.sh,defensive_dividend,银行,300.0,27.08,8123.999999999999,0.1630691350122028,-178.14900000000017,False
2023-04-06,repair_best_baseline,600036.sh,defensive_dividend,银行,300.0,27.42,8226.0,0.16467701826445583,-76.14899999999913,False
2023-04-06,repair_best_baseline,601318.sh,defensive_dividend,非银金融,100.0,38.27,3827.0000000000005,0.07661304995113938,32.103500000000196,False
2023-04-07,repair_best_baseline,600036.sh,defensive_dividend,银行,300.0,27.52,8256.0,0.16503640778422096,-46.14899999999977,False
2023-04-07,repair_best_baseline,601318.sh,defensive_dividend,非银金融,100.0,38.7,3870.0000000000005,0.0773608161488536,75.10350000000017,False
2023-04-10,repair_best_baseline,600036.sh,defensive_dividend,银行,300.0,27.01,8103.000000000001,0.16260529560235137,-199.14899999999918,False
2023-04-10,repair_best_baseline,601318.sh,defensive_dividend,非银金融,100.0,38.3,3829.9999999999995,0.07685774184339203,35.1034999999996,False
2023-04-11,repair_best_baseline,600036.sh,defensive_dividend,银行,300.0,27.02,8106.0,0.16267529084831878,-196.14899999999977,False
2023-04-11,repair_best_baseline,601318.sh,defensive_dividend,非银金融,100.0,38.24,3824.0,0.07674195808092413,29.103500000000082,False
2023-04-12,repair_best_baseline,600036.sh,defensive_dividend,银行,300.0,27.29,8187.0,0.16419210168327253,-115.1489999999999,False
2023-04-12,repair_best_baseline,601318.sh,defensive_dividend,非银金融,100.0,37.76,3776.0,0.0757285178888527,-18.896500000000316,False
2023-04-13,repair_best_baseline,600036.sh,defensive_dividend,银行,300.0,27.67,8301.0,0.1659757661758194,-1.148999999999134,False
2023-04-13,repair_best_baseline,601318.sh,defensive_dividend,非银金融,100.0,38.13,3813.0000000000005,0.07623968153576671,18.10350000000014,False
2023-04-14,repair_best_baseline,600036.sh,defensive_dividend,银行,300.0,28.48,8544.0,0.16933792289666738,241.85100000000048,False
2023-04-14,repair_best_baseline,601318.sh,defensive_dividend,非银金融,100.0,40.12,4011.9999999999995,0.07951588795194632,217.10349999999963,False
2023-04-17,repair_best_baseline,600036.sh,defensive_dividend,银行,300.0,28.96,8688.0,0.1713159201021052,385.8510000000006,False
2023-04-17,repair_best_baseline,601318.sh,defensive_dividend,非银金融,100.0,41.26,4126.0,0.08135928710189756,331.1034999999997,False
2023-04-18,repair_best_baseline,600036.sh,defensive_dividend,银行,300.0,28.78,8634.0,0.17050663584865042,331.8510000000007,False
2023-04-18,repair_best_baseline,601318.sh,defensive_dividend,非银金融,100.0,41.04,4104.0,0.08104693462159616,309.1034999999998,False
2023-04-19,repair_best_baseline,600036.sh,defensive_dividend,银行,300.0,28.27,8481.0,0.16786305998558304,178.85100000000023,False
2023-04-19,repair_best_baseline,601318.sh,defensive_dividend,非银金融,100.0,41.43,4143.0,0.08200172827735769,348.1034999999998,False
2023-04-20,repair_best_baseline,600036.sh,defensive_dividend,银行,300.0,27.78,8334.0,0.16611081999175992,31.851000000000695,False
2023-04-20,repair_best_baseline,601318.sh,defensive_dividend,非银金融,100.0,39.38,3938.0000000000005,0.07849104981132117,143.10350000000014,False
2023-04-21,repair_best_baseline,600036.sh,defensive_dividend,银行,300.0,26.88,8064.0,0.16170909383095428,-238.14899999999994,False
2023-04-21,repair_best_baseline,601318.sh,defensive_dividend,非银金融,100.0,39.04,3904.0,0.07828773590228738,109.1034999999998,False
2023-04-24,repair_best_baseline,600036.sh,defensive_dividend,银行,300.0,27.31,8193.0,0.16358148812211903,-109.14900000000003,False
