profile,execution_mode,annual_return,cumulative_return,max_drawdown,sharpe,calmar,volatility,total_trades,buy_trades,sell_trades,avg_daily_exposure,max_daily_exposure,avg_positions,max_positions,turnover,total_fees,total_tax,total_slippage,realized_pnl,unrealized_pnl,benchmark_annual_return,excess_annual_return,defensive_pnl,cyclical_pnl,defensive_trade_count,cyclical_trade_count
baseline,same_close,-0.0006661471068507563,-0.0019205752440000223,-0.002964004500000006,-0.38134249714476826,-0.22474564625349083,0.0017458320204147791,2,1,1,0.0003636990384443723,0.030000720152286896,0.012379642365887207,1,0.05814093,0.8721139499999999,0.7031482500000001,1.4534999999998632,-95.57853719999962,-0.4502250000036412,0.028884355393731243,-0.029550502500582,0.0,-95.57853719999962,0,2
baseline,next_bar,-0.0007712458714833614,-0.002220311348999915,-0.0030240525090000636,-0.43736707358332005,-0.25503719567964195,0.0017629363910631655,2,1,1,0.00036173192801041586,0.030002521787232544,0.012396694214876033,1,0.057961080000000005,0.8694161999999999,0.6971512500000001,1.4489999999997671,-110.56444199999939,-0.45112544999895476,0.028884355393731243,-0.029655601265214604,0.0,-110.56444199999939,0,2
combined_v2,same_close,0.021920327310648746,0.06455329128700016,-0.0892309263624913,0.3191296170583671,0.2456584079560007,0.0775196861772444,45,23,22,0.44686168204174825,0.5344443471306013,7.017881705639615,8,2.39068646,35.860296899999994,30.707138750000002,59.767999999994274,3245.1005780000046,-17.436013649995857,0.028884355393731243,-0.006964028083082496,3736.4402244000044,-491.33964639999937,28,17
combined_v2,next_bar,0.024846220411411934,0.07326562069200016,-0.08876605706976393,0.35634328938471815,0.27990677102943234,0.07768954714998856,41,23,18,0.4458773619428774,0.550110755601559,7.027548209366391,8,2.04219921,30.632988149999996,22.034477250000002,51.05149999999412,40.71383640000539,3622.5671982000063,0.028884355393731243,-0.004038134982319308,3954.222716400004,-273.52937999999773,24,17
