date,nav,cash,invested_value,exposure,holdings_count
2023-04-04,199949.4428209,186795.4428209,13154.0,0.06578662993215932,2
2023-04-06,199755.4428209,186795.4428209,12960.0,0.06487933353395475,2
2023-04-07,199979.05602360002,178807.05602360002,21172.0,0.1058710868077177,3
2023-04-10,200059.05602360002,178807.05602360002,21252.0,0.10622863279677278,3
2023-04-11,199838.05602360002,178807.05602360002,21031.0,0.105240215094548,3
2023-04-12,199867.05602360002,178807.05602360002,21060.0,0.10537004156159314,3
2023-04-13,199830.82162980002,173510.82162980002,26320.0,0.1317114136114576,4
2023-04-14,200054.82162980002,173510.82162980002,26544.0,0.13268363033568606,4
2023-04-17,200860.45083550003,165542.45083550003,35318.0,0.17583351950616008,5
2023-04-18,201439.45083550003,165542.45083550003,35897.0,0.17820243180326328,5
2023-04-19,201244.45083550003,165542.45083550003,35702.0,0.17740613394196544,5
2023-04-20,201433.45083550003,165542.45083550003,35891.0,0.17817795331973074,5
2023-04-21,200466.45083550003,165542.45083550003,34924.0,0.1742136893951305,5
2023-04-24,200010.45083550003,165542.45083550003,34468.0,0.17233099498559926,5
2023-04-25,199718.54972925002,158161.54972925002,41557.0,0.2080778177907714,6
2023-04-26,199689.54972925002,158161.54972925002,41528.0,0.2079628105542124,6
2023-04-27,200408.54972925002,158161.54972925002,42247.0,0.2108043796388691,6
2023-04-28,201215.23894620003,150268.23894620003,50947.0,0.2531965285870916,7
2023-05-04,201401.23894620003,150268.23894620003,51133.0,0.2538862236773979,7
2023-05-05,201886.23894620003,150268.23894620003,51618.0,0.25567864491128345,7
2023-05-08,203347.76130680004,144667.76130680004,58680.0,0.28856968782393827,8
2023-05-09,202777.76130680004,144667.76130680004,58110.0,0.28656988629083613,8
2023-05-10,201713.76130680004,144667.76130680004,57046.0,0.28280668423625743,8
2023-05-11,201387.76130680004,144667.76130680004,56720.0,0.28164571487336354,8
2023-05-12,200693.76130680004,144667.76130680004,56026.0,0.2791616422712473,8
2023-05-15,201650.76130680004,144667.76130680004,56983.0,0.2825826177432757,8
2023-05-16,201236.76130680004,144667.76130680004,56569.0,0.2811066906098556,8
2023-05-17,200735.76130680004,144667.76130680004,56068.0,0.2793124634843063,8
2023-05-18,200785.76130680004,144667.76130680004,56118.0,0.27949193027812297,8
2023-05-19,200202.76130680004,144667.76130680004,55535.0,0.277393776377018,8
2023-05-22,200776.52653800003,136869.52653800003,63907.0,0.31829916127124863,9
2023-05-23,199587.52653800003,136869.52653800003,62718.0,0.31423807433205975,9
2023-05-24,198428.52653800003,136869.52653800003,61559.0,0.3102326115807303,9
2023-05-25,198433.18822500005,121437.18822500005,76996.0,0.38801976972065544,11
2023-05-26,198894.92914290004,118400.92914290006,80493.99999999999,0.4047061448317139,10
2023-05-29,199012.92914290004,118400.92914290006,80611.99999999999,0.40505911021548263,10
2023-05-30,198793.92914290007,118400.92914290006,80393.00000000001,0.40440369757071754,10
2023-05-31,198267.92914290004,118400.92914290006,79866.99999999999,0.40282359504767146,10
2023-06-01,198021.68957320007,110596.68957320006,87425.00000000001,0.44149204154569527,11
2023-06-02,199615.68957320007,110596.68957320006,89019.00000000001,0.4459519198632746,11
2023-06-05,199252.68957320007,110596.68957320006,88656.00000000001,0.44494255103859054,11
2023-06-06,198884.68957320007,110596.68957320006,88288.00000000001,0.4439155180293824,11
2023-06-07,199345.68957320007,110596.68957320006,88749.00000000001,0.4452014999171138,11
2023-06-08,200660.68957320007,110596.68957320006,90064.00000000001,0.44883728941410367,11
2023-06-09,200403.68957320007,110596.68957320006,89807.00000000001,0.44813047200509165,11
2023-06-12,200193.68957320007,110596.68957320006,89597.00000000001,0.44755156963745957,11
2023-06-13,200523.68957320007,110596.68957320006,89927.00000000001,0.4484607289612665,11
2023-06-14,200603.68957320007,110596.68957320006,90007.00000000001,0.44868068075665457,11
2023-06-15,201371.68957320007,110596.68957320006,90775.00000000001,0.4507833260593597,11
2023-06-16,201343.68957320007,110596.68957320006,90747.00000000001,0.4507069488612318,11
2023-06-19,200178.68957320007,110596.68957320006,89582.00000000001,0.4475101729909279,11
2023-06-20,199791.68957320007,110596.68957320006,89195.00000000001,0.446439990524834,11
2023-06-21,199241.68957320007,110596.68957320006,88645.00000000001,0.44491190668924957,11
2023-06-26,197890.68957320007,110596.68957320006,87294.00000000001,0.44112231954050485,11
2023-06-27,199061.68957320007,110596.68957320006,88465.00000000001,0.4444099725551117,11
2023-06-28,199612.68957320007,110596.68957320006,89016.00000000001,0.44594359301670006,11
2023-06-29,198851.68957320007,110596.68957320006,88255.00000000001,0.4438232342376559,11
2023-06-30,199295.68957320007,110596.68957320006,88699.00000000001,0.44506231012799413,11
2023-07-03,201067.68957320004,110596.68957320006,90470.99999999999,0.44995294963621396,11
2023-07-04,200744.68957320007,110596.68957320006,90148.00000000001,0.4490679190152535,11
2023-07-05,200354.68957320007,110596.68957320006,89758.00000000001,0.4479955033306406,11
2023-07-06,199883.68957320007,110596.68957320006,89287.00000000001,0.44669477630040405,11
2023-07-07,200175.68957320007,110596.68957320006,89579.00000000001,0.4475018929171359,11
2023-07-10,200195.68957320007,110596.68957320006,89599.00000000001,0.4475570887216271,11
2023-07-11,200671.68957320007,110596.68957320006,90075.00000000001,0.44886750189614005,11
2023-07-12,200743.68957320007,110596.68957320006,90147.00000000001,0.44906517455996253,11
2023-07-13,201890.68957320007,110596.68957320006,91294.00000000001,0.45219519628664845,11
2023-07-14,201576.68957320007,110596.68957320006,90980.00000000001,0.4513418698989089,11
2023-07-17,201164.68957320007,110596.68957320006,90568.00000000001,0.4502181779126004,11
2023-07-18,201177.68957320007,110596.68957320006,90581.00000000001,0.45025370453437585,11
2023-07-19,201708.68957320007,110596.68957320006,91112.00000000001,0.45170091676658025,11
2023-07-20,201253.68957320007,110596.68957320006,90657.00000000001,0.4504613067827818,11
2023-07-21,201087.68957320007,110596.68957320006,90491.00000000001,0.4500076568190885,11
2023-07-24,200548.68957320007,110596.68957320006,89952.00000000001,0.4485294827477176,11
2023-07-25,203308.68957320007,110596.68957320006,92712.00000000001,0.45601592432978433,11
2023-07-26,203386.68957320007,110596.68957320006,92790.00000000001,0.4562245454445255,11
2023-07-27,203423.68957320007,110596.68957320006,92827.00000000001,0.45632345079748987,11
2023-07-28,206556.68957320007,110596.68957320006,95960.00000000001,0.46456980017581795,11
2023-07-31,207236.68957320007,110596.68957320006,96640.00000000001,0.46632669243572755,11
2023-08-01,206998.68957320007,110596.68957320006,96402.00000000001,0.465713093154195,11
2023-08-02,206133.37977780006,103955.37977780006,102178.0,0.49568876282988233,12
2023-08-03,207140.37977780006,103955.37977780006,103185.0,0.49814044036554717,12
2023-08-04,207321.37977780006,103955.37977780006,103366.0,0.498578584180677,12
2023-08-07,206576.37977780006,103955.37977780006,102621.0,0.49677025084078985,12
2023-08-08,206434.37977780006,103955.37977780006,102479.0,0.4964240942342327,12
2023-08-09,206176.37977780006,103955.37977780006,102221.0,0.4957939416249591,12
2023-08-10,206490.37977780006,103955.37977780006,102535.0,0.49656066355408784,12
2023-08-11,203647.37977780006,103955.37977780006,99692.0,0.4895324462744086,12
2023-08-14,202827.37977780006,103955.37977780006,98872.0,0.4874687042169332,12
2023-08-15,203309.37977780006,103955.37977780006,99354.0,0.4886837985959404,12
2023-08-16,203006.37977780006,103955.37977780006,99051.0,0.48792062647694096,12
2023-08-17,202664.37977780006,103955.37977780006,98709.0,0.487056482783131,12
2023-08-18,201989.37977780006,103955.37977780006,98034.0,0.48534234873062654,12
2023-08-21,200322.37977780006,103955.37977780006,96367.0,0.48105958059649356,12
2023-08-22,200696.37977780006,103955.37977780006,96741.0,0.4820266320055513,12
2023-08-23,199800.37977780006,103955.37977780006,95845.0,0.4797037928886329,12
2023-08-24,199833.37977780006,103955.37977780006,95878.0,0.4797897133432325,12
2023-08-25,199928.37977780006,103955.37977780006,95973.0,0.48003690174783675,12
2023-08-28,201291.37977780006,103955.37977780006,97336.0,0.4835577167161679,12
2023-08-29,200948.37977780006,103955.37977780006,96993.0,0.4826761982716687,12
2023-08-30,200299.37977780006,103955.37977780006,96344.0,0.4809999916468946,12
2023-08-31,200055.37977780006,103955.37977780006,96100.0,0.48036698691501084,12
2023-09-01,201137.37977780006,103955.37977780006,97182.0,0.48316230482548117,12
2023-09-04,202839.57498780006,110721.57498780006,92118.0,0.45414214659807145,11
2023-09-05,201937.57498780006,110721.57498780006,91216.0,0.45170394863616026,11
2023-09-06,202073.57498780006,110721.57498780006,91352.0,0.45207296404547337,11
2023-09-07,201352.57498780006,110721.57498780006,90631.0,0.45011095589659744,11
2023-09-08,201114.57498780006,110721.57498780006,90393.0,0.44946021443489803,11
2023-09-11,201451.57498780006,110721.57498780006,90730.0,0.4503811896506375,11
2023-09-12,201833.57498780006,110721.57498780006,91112.0,0.45142142483235165,11
2023-09-13,201517.57498780006,110721.57498780006,90796.0,0.4505611979773815,11
2023-09-14,202080.57498780006,110721.57498780006,91359.0,0.45209194404516856,11
2023-09-15,201282.57498780006,110721.57498780006,90561.0,0.4499197210960213,11
2023-09-18,201406.57498780006,110721.57498780006,90685.0,0.4502583890595087,11
2023-09-19,201860.57498780006,110721.57498780006,91139.0,0.4514948003368573,11
2023-09-20,201552.57498780006,110721.57498780006,90831.0,0.4506566091030987,11
2023-09-21,201267.57498780006,110721.57498780006,90546.0,0.4498787249038425,11
2023-09-22,202631.57498780006,110721.57498780006,91910.0,0.45358182704513683,11
2023-09-25,201948.57498780006,110721.57498780006,91227.0,0.45173381394501605,11
2023-09-26,201588.57498780006,110721.57498780006,90867.0,0.45075471169682696,11
2023-09-27,201624.57498780006,110721.57498780006,90903.0,0.45085277925818507,11
2023-09-28,201289.57498780006,110721.57498780006,90568.0,0.44993885056138266,11
2023-10-09,200866.57498780006,110721.57498780006,90145.0,0.44878049026063743,11
2023-10-10,199848.57498780006,110721.57498780006,89127.0,0.44597265707519224,11
2023-10-11,199459.57498780006,110721.57498780006,88738.0,0.4448921542394125,11
2023-10-12,200440.57498780006,110721.57498780006,89719.0,0.44760897341000344,11
2023-10-13,199621.57498780006,110721.57498780006,88900.0,0.4453426439774015,11
2023-10-16,199469.57498780006,110721.57498780006,88748.0,0.44491998343821604,11
2023-10-17,199915.57498780006,110721.57498780006,89194.0,0.44615833461421456,11
2023-10-18,199232.57498780006,110721.57498780006,88511.0,0.4442596799515337,11
2023-10-19,197322.57498780006,110721.57498780006,86601.0,0.4388803460797849,11
2023-10-20,197172.06849820007,116490.06849820007,80682.0,0.4091958897349425,10
2023-10-23,196147.06849820007,116490.06849820007,79657.0,0.406108541972581,10
2023-10-24,196633.89444640005,118024.89444640007,78608.99999999999,0.3997733972635517,10
2023-10-25,197054.89444640005,118024.89444640007,79029.99999999999,0.40105575769647556,10
2023-10-26,197491.89444640005,118024.89444640007,79466.99999999999,0.4023810709941191,10
2023-10-27,198522.89444640005,118024.89444640007,80497.99999999999,0.4054847186490823,10
2023-10-30,197493.89444640005,118024.89444640007,79468.99999999999,0.40238712301846835,10
2023-10-31,197253.89444640005,118024.89444640007,79228.99999999999,0.4016600038359645,10
2023-11-01,197305.89444640005,118024.89444640007,79280.99999999999,0.40181769643753545,10
2023-11-02,197501.89444640005,118024.89444640007,79476.99999999999,0.40241132989015055,10
2023-11-03,197262.89444640005,118024.89444640007,79237.99999999999,0.40168730273564146,10
2023-11-06,198001.89444640005,118024.89444640007,79976.99999999999,0.40392037774997197,10
2023-11-07,197404.89444640008,118024.89444640007,79380.00000000001,0.4021176892427735,10
2023-11-08,196967.89444640005,118024.89444640007,78942.99999999999,0.40079120621093084,10
2023-11-09,196744.87989760007,122646.87989760007,74098.0,0.3766197119770834,9
2023-11-10,196093.87989760007,122646.87989760007,73447.0,0.37455019013522456,9
2023-11-13,195653.87989760007,122646.87989760007,73007.0,0.37314363527168426,9
2023-11-14,195547.87989760007,122646.87989760007,72901.0,0.37280383729128175,9
2023-11-15,196163.87989760007,122646.87989760007,73517.0,0.3747733784546715,9
2023-11-16,195786.87989760007,122646.87989760007,73140.0,0.37356946511560674,9
2023-11-17,195477.87989760007,122646.87989760007,72831.0,0.37257924036291007,9
2023-11-20,196144.87989760007,122646.87989760007,73498.0,0.374712814519403,9
2023-11-21,196259.87989760007,122646.87989760007,73613.0,0.37507920639922987,9
2023-11-22,195985.87989760007,122646.87989760007,73339.0,0.3742055296959078,9
2023-11-23,196236.87989760007,122646.87989760007,73590.0,0.3750059623777171,9
2023-11-24,196224.87989760007,122646.87989760007,73578.0,0.3749677412894668,9
2023-11-27,195547.87989760007,122646.87989760007,72901.0,0.37280383729128175,9
2023-11-28,195548.87989760007,122646.87989760007,72902.0,0.3728070446538759,9
2023-11-29,195119.01417840007,121768.01417840007,73351.0,0.3759295336175394,9
2023-11-30,195422.01417840007,121768.01417840007,73654.0,0.37689714902212357,9
2023-12-01,195589.01417840007,121768.01417840007,73821.0,0.3774291736685508,9
2023-12-04,195722.01417840007,121768.01417840007,73954.0,0.3778522324657416,9
2023-12-05,194554.01417840007,121768.01417840007,72786.0,0.37411718440955666,9
2023-12-06,194181.01417840007,121768.01417840007,72413.0,0.3729149335551,9
2023-12-07,194053.01417840007,121768.01417840007,72285.0,0.37250129974041907,9
2023-12-08,194188.17326960008,135478.17326960008,58710.0,0.3023356109256473,8
2023-12-11,194763.17326960008,135478.17326960008,59285.0,0.3043953279500894,8
2023-12-12,194898.17326960008,135478.17326960008,59420.0,0.3048771520182752,8
2023-12-13,194463.17326960008,135478.17326960008,58985.0,0.3033222126753239,8
2023-12-14,194341.17326960008,135478.17326960008,58863.0,0.30288486484715316,8
2023-12-15,193983.17326960008,135478.17326960008,58505.0,0.30159832429738154,8
2023-12-18,194127.17326960008,135478.17326960008,58649.0,0.3021163859350561,8
