market_regime,trading_days,avg_exposure,total_daily_pnl,total_realized_pnl,total_unrealized_pnl,avg_daily_return,annualized_return_in_regime,max_drawdown_in_regime,trade_count,buy_count,sell_count
neutral,152,0.09140576607917794,-29.754666200002248,-232.4220871999997,202.6674209999975,1.2418026355678054e-06,-0.00010605151628617637,-0.01590414268850593,3,2,1
risk_off,163,0.11269537411114706,-910.1808071999985,-734.0689647999998,-176.11184239999886,-0.00011148368778429469,-0.027861861163939405,-0.02394680660697568,5,2,3
risk_on,411,0.1833638278370372,3854.6178336500016,3938.7040512000017,-84.08621755000024,0.0001877133185602555,0.047058738527410604,-0.042717928295674334,13,8,5
