date,nav,cash,exposure,holdings_count,running_peak,drawdown
2023-04-04,49987.7867851,47231.7867851,0.055133467137646684,1,49987.7867851,0.0
2023-04-06,49889.73101225,43409.73101225,0.12988644894495205,2,49987.7867851,-0.001961594604529049
2023-04-07,49989.25713595,41566.25713595,0.1684962026359572,3,49989.25713595,0.0
2023-04-10,50036.25713595,41566.25713595,0.16927724983478995,3,50036.25713595,0.0
2023-04-11,49936.25713595,41566.25713595,0.16761368352483688,3,50036.25713595,-0.001998550765463847
2023-04-12,49940.25713595,41566.25713595,0.16768035409196744,3,50036.25713595,-0.001918608734845284
2023-04-13,49915.84567135,39800.84567135,0.20264106245135033,4,50036.25713595,-0.002406484247469587
2023-04-14,50012.84567135,39800.84567135,0.20418754147896795,4,50036.25713595,-0.00046789000496960664
2023-04-17,50358.72207325,37144.72207325,0.2623974448910635,5,50358.72207325,0.0
2023-04-18,50585.72207325,37144.72207325,0.26570738637548624,5,50585.72207325,0.0
2023-04-19,50508.72207325,37144.72207325,0.26458796523536926,5,50585.72207325,-0.0015221686445139326
2023-04-20,50547.72207325,37144.72207325,0.26515537100914993,5,50585.72207325,-0.0007512001102796262
2023-04-21,50152.72207325,37144.72207325,0.25936777630935587,5,50585.72207325,-0.008559727572396758
2023-04-24,49972.72207325,37144.72207325,0.2567000449004303,5,50585.72207325,-0.012118043884247642
2023-04-25,49861.36163075,34192.36163075,0.31425134588255554,6,50585.72207325,-0.01431946432337372
2023-04-26,49852.36163075,34192.36163075,0.314127545571293,6,50585.72207325,-0.014497380138966287
2023-04-27,50207.36163075,34192.36163075,0.3189771276527595,6,50585.72207325,-0.007479589635038142
2023-04-28,50529.831743949995,32278.83174395,0.36119257417050893,7,50585.72207325,-0.0011048637245717474
2023-05-04,50646.831743949995,32278.83174395,0.36266829271495626,7,50646.831743949995,0.0
2023-05-05,50889.4671132,28070.4671132,0.44840320196791916,8,50889.4671132,0.0
2023-05-08,51333.4671132,28070.4671132,0.45317414365760034,8,51333.4671132,0.0
2023-05-09,51080.4671132,28070.4671132,0.45046573182283706,8,51333.4671132,-0.004928558584248455
2023-05-10,50753.4671132,28070.4671132,0.44692513221624985,8,51333.4671132,-0.011298671853217868
2023-05-11,50672.4671132,28070.4671132,0.44604104137081296,8,51333.4671132,-0.012876589818925921
2023-05-12,50393.4671132,28070.4671132,0.4429740853086241,8,51333.4671132,-0.01831164058969803
2023-05-15,50774.4671132,28070.4671132,0.4471538805002558,8,51333.4671132,-0.010889582010256582
2023-05-16,50661.4671132,28070.4671132,0.4459207616218806,8,51333.4671132,-0.0130908749747628
2023-05-17,50455.4671132,28070.4671132,0.44365856230758605,8,51333.4671132,-0.017103851529526426
2023-05-18,50413.4671132,28070.4671132,0.44319506829058825,8,51333.4671132,-0.017922031215449108
2023-05-19,50396.4671132,28070.4671132,0.4430072439373891,8,51333.4671132,-0.01825319918356061
2023-05-22,50797.4671132,28070.4671132,0.4474041973264896,8,51333.4671132,-0.010441531229870349
2023-05-23,50379.4671132,28070.4671132,0.44281929282564375,8,51333.4671132,-0.01858436715167222
2023-05-24,49902.4671132,28070.4671132,0.43749339988493446,8,51333.4671132,-0.027876550727508276
2023-05-25,49859.4671132,28070.4671132,0.43700828070485914,8,51333.4671132,-0.02871421088214343
2023-05-26,49738.3807525,27058.3807525,0.4559858937277534,7,51333.4671132,-0.031073029943263553
2023-05-29,49735.8828717,25184.8828717,0.493627509605739,8,51333.4671132,-0.03112168983203545
2023-05-30,49560.8828717,25184.8828717,0.49183950300286233,8,51333.4671132,-0.03453077185671327
2023-05-31,49282.8828717,25184.8828717,0.4889730185373944,8,51333.4671132,-0.039946342158772796
2023-06-01,49233.8828717,25184.8828717,0.48846441916169775,8,51333.4671132,-0.040900885125682684
2023-06-02,49759.8828717,25184.8828717,0.493871741285319,8,51333.4671132,-0.03065415858293674
2023-06-05,49590.8828717,25184.8828717,0.4921469146484536,8,51333.4671132,-0.03394635779533994
2023-06-06,49581.8828717,25184.8828717,0.4920547302152809,8,51333.4671132,-0.034121682013751875
2023-06-07,49665.8828717,25184.8828717,0.49291381899403347,8,51333.4671132,-0.03248532264190651
2023-06-08,50012.8828717,25184.8828717,0.49643209058138554,8,51333.4671132,-0.025725599998688287
2023-06-09,49912.8828717,25184.8828717,0.4954231969241848,8,51333.4671132,-0.027673646869932678
2023-06-12,49858.8828717,25184.8828717,0.49487671160809366,8,51333.4671132,-0.028725592180404713
2023-06-13,49955.8828717,25184.8828717,0.4958575161932083,8,51333.4671132,-0.026835986715297633
2023-06-14,50009.8828717,25184.8828717,0.4964018824776767,8,51333.4671132,-0.025784041404825597
