attribution_type,entry_signal_level,exit_action,exit_reason,trade_count,realized_pnl,unrealized_pnl,total_pnl,avg_holding_days,win_rate,avg_win,avg_loss,profit_factor
entry_signal,BUY_1,,,40,38860.763884000015,5007.924500000001,43868.68838400002,223.6,0.575,2485.507351843479,-782.2341593176467,4.2988984828568215
entry_signal,BUY_2,,,4,-326.93399000000056,473.9454999999999,147.01150999999948,271.0,0.5,915.1861927999996,-841.6804377999999,1.0873321413910135
exit_signal,,REDUCE,soft_trim,2,4562.6719784000015,0.0,4562.6719784000015,198.5,1.0,2281.3359892000008,0.0,inf
exit_signal,,SELL_ALL,cycle_peak_trap_trend_break,2,698.3544912000015,0.0,698.3544912000015,229.0,0.5,1283.8708400000007,-585.5163487999993,2.1927156135456527
exit_signal,,SELL_ALL,trend_stop,16,-12843.997945199993,0.0,-12843.997945199993,108.375,0.0,0.0,-802.7498715749996,0.0
exit_signal,,SELL_ALL,valuation_reversion_exit,16,46116.80136960001,0.0,46116.80136960001,276.125,0.9375,3115.286243973334,-612.4922899999989,76.29368470842317
entry_exit_pair,BUY_1,OPEN,open_position,7,0.0,5007.924500000001,5007.924500000001,377.7142857142857,0.8571428571428571,991.2099166666668,-939.3350000000002,6.331350902500173
entry_exit_pair,BUY_1,REDUCE,soft_trim,2,4562.6719784000015,0.0,4562.6719784000015,198.5,1.0,2281.3359892000008,0.0,inf
entry_exit_pair,BUY_1,SELL_ALL,cycle_peak_trap_trend_break,2,698.3544912000015,0.0,698.3544912000015,229.0,0.5,1283.8708400000007,-585.5163487999993,2.1927156135456527
entry_exit_pair,BUY_1,SELL_ALL,trend_stop,14,-11160.637069599996,0.0,-11160.637069599996,110.78571428571429,0.0,0.0,-797.1883621142854,0.0
entry_exit_pair,BUY_1,SELL_ALL,valuation_reversion_exit,15,44760.37448400001,0.0,44760.37448400001,259.6,0.9333333333333333,3240.919055285715,-612.4922899999989,74.07908232444868
entry_exit_pair,BUY_2,OPEN,open_position,1,0.0,473.9454999999999,473.9454999999999,377.0,1.0,473.9454999999999,0.0,inf
entry_exit_pair,BUY_2,SELL_ALL,trend_stop,2,-1683.3608755999999,0.0,-1683.3608755999999,91.5,0.0,0.0,-841.6804377999999,0.0
entry_exit_pair,BUY_2,SELL_ALL,valuation_reversion_exit,1,1356.4268855999992,0.0,1356.4268855999992,524.0,1.0,1356.4268855999992,0.0,inf
