date,market_regime,nav_before,nav_after,daily_pnl,daily_return,exposure,holdings_count,defensive_daily_pnl,cyclical_daily_pnl,realized_pnl_today,unrealized_pnl_today,fees_today,tax_today,slippage_today,trade_count,buy_count,sell_count
2023-04-04,risk_on,50000.0,49987.7867851,-12.21321490000264,-0.0002442642980000528,0.055133467137646684,1,-12.21321490000264,-0.0,0.0,-12.21321490000264,0.8302148999999999,0.0,1.3829999999998677,1,1,0
2023-04-06,neutral,49987.7867851,49889.73101225,-98.0557728499989,-0.001961594604529014,0.12988644894495205,2,-98.0557728499989,-0.0,0.0,-98.0557728499989,1.14627285,0.0,1.9095000000000084,1,1,0
2023-04-07,risk_on,49889.73101225,49989.25713595,99.52612370000134,0.001994922034668087,0.1684962026359572,3,99.52612370000134,0.0,0.0,99.52612370000134,0.5528762999999999,0.0,0.920999999999772,1,1,0
2023-04-10,risk_on,49989.25713595,50036.25713595,47.0,0.0009402020092472976,0.16927724983478995,3,47.0,0.0,0.0,47.0,0.0,0.0,0.0,0,0,0
2023-04-11,neutral,50036.25713595,49936.25713595,-100.0,-0.001998550765463872,0.16761368352483688,3,-100.0,-0.0,0.0,-100.0,0.0,0.0,0.0,0,0,0
2023-04-12,neutral,49936.25713595,49940.25713595,4.0,8.010211876933661e-05,0.16768035409196744,3,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,0
2023-04-13,neutral,49940.25713595,49915.84567135,-24.411464600001636,-0.000488813354195343,0.20264106245135033,4,-20.188027817994435,-4.223436782007203,0.0,-24.411464600001636,0.5294646,0.0,0.882000000000005,1,1,0
2023-04-14,neutral,49915.84567135,50012.84567135,97.0,0.0019432706928107742,0.20418754147896795,4,80.22542107324716,16.774578926752838,0.0,97.0,0.0,0.0,0.0,0,0,0
2023-04-17,risk_on,50012.84567135,50358.72207325,345.87640190000093,0.006915751288636175,0.2623974448910635,5,299.8607582992592,46.01564360074176,0.0,345.87640190000093,0.7965980999999999,0.0,1.326999999999856,1,1,0
2023-04-18,risk_on,50358.72207325,50585.72207325,227.0,0.004507660056778524,0.26570738637548624,5,197.27602112938027,29.72397887061975,0.0,227.0,0.0,0.0,0.0,0,0,0
2023-04-19,risk_on,50585.72207325,50508.72207325,-77.0,-0.0015221686445139825,0.26458796523536926,5,-67.00912900329243,-9.990870996707573,0.0,-77.0,0.0,0.0,0.0,0,0,0
2023-04-20,risk_on,50508.72207325,50547.72207325,39.0,0.0007721438674183928,0.26515537100914993,5,33.948593598448106,5.051406401551891,0.0,39.0,0.0,0.0,0.0,0,0,0
2023-04-21,neutral,50547.72207325,50152.72207325,-395.0,-0.007814397638484983,0.25936777630935587,5,-344.0459717097171,-50.954028290282906,0.0,-395.0,0.0,0.0,0.0,0,0,0
2023-04-24,neutral,50152.72207325,49972.72207325,-180.0,-0.0035890374950556625,0.2567000449004303,5,-156.31431244153416,-23.685687558465855,0.0,-180.0,0.0,0.0,0.0,0,0,0
