month,period_end_date,prev_month_end_nav,month_end_nav,monthly_return,avg_exposure,max_exposure,avg_holdings_count,cumulative_return_from_monthly_chain,cumulative_return_from_nav,diff
2023-04,2023-04-28,200000.0,201215.23894620003,0.006076194731000184,0.15299873573314907,0.2531965285870916,4.388888888888889,0.006076194731000184,0.006076194731000184,0.0
2023-05,2023-05-31,201215.23894620003,198267.92914290004,-0.014647547664558447,0.31379940635735915,0.40505911021548263,8.6,-0.008660354285499716,-0.008660354285499827,1.1102230246251565e-16
2023-06,2023-06-30,198267.92914290004,199295.68957320007,0.005183694784844706,0.4461939022886101,0.4507833260593597,11.0,-0.003521552133999628,-0.003521552133999628,0.0
2023-07,2023-07-31,199295.68957320007,207236.68957320007,0.03984531736238739,0.4519462633956869,0.46632669243572755,11.0,0.03618344786600036,0.03618344786600036,0.0
2023-08,2023-08-31,207236.68957320007,200055.37977780006,-0.034652694994258826,0.48695181530408005,0.498578584180677,11.956521739130435,0.0002768988890002877,0.0002768988890002877,0.0
2023-09,2023-09-28,200055.37977780006,201289.57498780006,0.006169267786603871,0.45270892589740486,0.48316230482548117,11.05,0.006447874939000231,0.006447874939000231,0.0
2023-10,2023-10-31,201289.57498780006,197253.89444640005,-0.020049128434220242,0.42558010389479894,0.44878049026063743,10.529411764705882,-0.013730527767999767,-0.013730527767999767,0.0
2023-11,2023-11-30,197253.89444640005,195422.01417840007,-0.009286915592420675,0.3819633581700914,0.40392037774997197,9.272727272727273,-0.022889929107999585,-0.022889929107999585,0.0
2023-12,2023-12-29,195422.01417840007,193070.4098822501,-0.012033466679978067,0.29787000184513235,0.3778522324657416,7.476190476190476,-0.034647950588749477,-0.034647950588749477,0.0
2024-01,2024-01-31,193070.4098822501,193790.0530655001,0.003727361348064173,0.29510359648233647,0.3018167550809974,6.954545454545454,-0.031049734672499496,-0.031049734672499496,0.0
2024-02,2024-02-29,193790.0530655001,195842.0530655001,0.010588778771356333,0.3031599574179625,0.30722775825739657,7.0,-0.02078973467249956,-0.02078973467249945,-1.1102230246251565e-16
2024-03,2024-03-29,195842.0530655001,194674.0530655001,-0.005963989764799726,0.30267069691939424,0.3066130003897766,7.0,-0.026629734672499628,-0.026629734672499517,-1.1102230246251565e-16
2024-04,2024-04-30,194674.0530655001,196816.0530655001,0.0110030071613052,0.3065250122811503,0.31180044166124365,7.0,-0.01591973467249963,-0.01591973467249952,-1.1102230246251565e-16
2024-05,2024-05-31,196816.0530655001,197313.6114328501,0.0025280375233640573,0.3385535578845936,0.3429955728260825,7.95,-0.013431942835749666,-0.013431942835749555,-1.1102230246251565e-16
