month,market_regime_dominant,raw_buy_count,account_actionable_buy_count,executable_buy_count,executed_buy_count,sell_count,replacement_count,watch_only_count,top_block_reason,positions_count_start,positions_count_end,exposure_start,exposure_end,cash_ratio_start,cash_ratio_end
2023-04,neutral,9,3,3,3,0,0,6,,1,3,0.1654812634939785,0.3556392875821972,0.8345187365060215,0.6443607124178028
2023-05,neutral,5,2,2,2,0,0,3,,4,5,0.4429624213880133,0.5259734957759962,0.5570375786119868,0.4740265042240038
2023-06,neutral,1,0,0,0,0,0,1,,5,5,0.5351404799795351,0.5496496414855706,0.4648595200204649,0.4503503585144294
2023-07,risk_off,0,0,0,0,0,0,0,,5,5,0.5480460459744242,0.5643347502453028,0.4519539540255758,0.4356652497546972
2023-08,risk_off,0,0,0,0,0,0,0,,5,5,0.5606056968938279,0.5502283571792277,0.4393943031061721,0.4497716428207723
2023-09,risk_off,0,0,0,0,0,0,0,,5,5,0.5564378225374887,0.5497198681474251,0.4435621774625113,0.4502801318525749
2023-10,risk_off,0,0,0,0,0,0,0,,5,5,0.5456548724908482,0.5355703906277322,0.4543451275091517,0.4644296093722679
2023-11,risk_off,0,0,0,0,0,0,0,,5,5,0.5367067467271699,0.5234702044661499,0.4632932532728301,0.4765297955338501
2023-12,risk_off,0,0,0,0,0,0,0,,5,5,0.5232538436143546,0.5188248609501621,0.4767461563856454,0.4811751390498379
2024-01,risk_off,0,0,0,0,0,0,0,,5,5,0.5184938840615964,0.5348784053352416,0.4815061159384037,0.4651215946647584
2024-02,neutral,0,0,0,0,0,0,0,,5,5,0.5349720373379161,0.5573387930485655,0.4650279626620839,0.4426612069514345
2024-03,neutral,0,0,0,0,0,0,0,,5,5,0.5557554125415068,0.558792982743424,0.4442445874584931,0.4412070172565759
2024-04,neutral,2,0,0,0,0,0,2,,5,5,0.5564889187810385,0.5749404965884609,0.4435110812189615,0.4250595034115391
2024-05,risk_on,9,0,0,0,0,0,9,,5,5,0.5731181787898657,0.5702912779921764,0.4268818212101342,0.4297087220078237
2024-06,neutral,6,0,0,0,0,0,6,,5,5,0.5716776280880546,0.5631483584754261,0.4283223719119455,0.4368516415245738
2024-07,neutral,5,0,0,0,0,0,5,,5,5,0.5637588379602428,0.5678474899629535,0.4362411620397571,0.4321525100370464
2024-08,risk_off,0,0,0,0,0,0,0,,5,5,0.5656372610916969,0.5690567706069907,0.434362738908303,0.4309432293930093
2024-09,risk_off,2,0,0,0,0,0,2,,5,5,0.5692415954723075,0.6300161612530322,0.4307584045276925,0.3699838387469678
2024-10,risk_on,10,1,1,1,0,1,10,,5,5,0.6102267541494,0.6179281101221737,0.3897732458506,0.3820718898778262
2024-11,risk_on,13,0,0,0,0,0,13,,5,5,0.619828193773677,0.6124332319678765,0.380171806226323,0.3875667680321235
2024-12,risk_on,7,0,0,0,0,0,7,,5,5,0.6150157271447125,0.6245970900436154,0.3849842728552875,0.3754029099563846
2025-01,risk_on,13,0,0,0,0,0,13,,5,5,0.6248414766820282,0.6238116493675935,0.3751585233179718,0.3761883506324065
2025-02,risk_on,14,0,0,0,0,0,14,,5,5,0.624201638327349,0.6304852311434066,0.375798361672651,0.3695147688565934
2025-03,risk_on,17,1,1,1,0,0,16,,5,5,0.6296205271737064,0.6800273753806881,0.3703794728262936,0.3199726246193118
2025-04,risk_on,18,0,0,0,0,0,18,,5,5,0.6786417252346334,0.6779495665212739,0.3213582747653665,0.3220504334787261
2025-05,risk_on,16,0,0,0,0,0,16,,5,5,0.6788168746293868,0.6822550080328719,0.3211831253706132,0.3177449919671281
2025-06,risk_on,4,0,0,0,0,0,4,,5,5,0.6819119856583797,0.6852894657522947,0.3180880143416202,0.3147105342477053
2025-07,risk_on,1,0,0,0,0,0,1,,5,5,0.6888667732370003,0.6908637690219598,0.3111332267629997,0.3091362309780402
2025-08,risk_on,0,0,0,0,0,0,0,,5,5,0.69235894486091,0.6893732529537893,0.30764105513909,0.3106267470462107
2025-09,risk_on,0,0,0,0,0,0,0,,5,5,0.6919711187010166,0.6807666004141263,0.3080288812989834,0.3192333995858737
2025-10,risk_on,0,0,0,0,0,0,0,,5,5,0.6818362192291978,0.6957597353591967,0.3181637807708021,0.3042402646408033
2025-11,risk_on,0,0,0,0,0,0,0,,5,5,0.6974001030207939,0.7019199416345232,0.3025998969792061,0.2980800583654768
2025-12,risk_on,0,0,0,0,0,0,0,,5,5,0.7010571412047838,0.6978245255742409,0.2989428587952162,0.302175474425759
2026-01,risk_on,0,0,0,0,0,0,0,,5,5,0.6986652770463734,0.6825620903837722,0.3013347229536265,0.3174379096162277
2026-02,risk_on,0,0,0,0,0,0,0,,5,5,0.6826877723956205,0.6918574235594895,0.3173122276043794,0.3081425764405105
2026-03,risk_on,0,0,0,0,0,0,0,,5,4,0.6978700915262709,0.5092756765450531,0.3021299084737291,0.4907243234549469
2026-04,risk_on,0,0,0,0,0,0,0,,4,4,0.5084316363660869,0.5066443912481813,0.4915683636339131,0.4933556087518187
