date,ts_code,name,bucket,side,action,signal_level,shares,price,amount,fee,tax,slippage,slippage_cost,cash_before,cash_after,position_before,position_after,weight_before,weight_after,target_weight,entry_reason,exit_reason,holding_days,realized_pnl,unrealized_pnl_after_trade,market_regime,execution_mode,fill_price_field,execution_adjustment,execution_reason_code
2025-04-09,600585.sh,海螺水泥,cyclical_rotation,BUY,BUY_1,BUY_1,600.0,23.77188,14263.127999999999,4.2789383999999995,0.0,0.011879999999997892,7.127999999998735,175918.0586638499,161650.6517254499,0.0,600.0,0.0,0.026844835847549625,0.026956,满足 cyclical BUY_1。,,0,0.0,466.87200000000075,neutral,next_bar,open,,
2025-04-11,601688.sh,华泰证券,defensive_dividend,BUY,BUY_1,BUY_1,1400.0,15.057525,21080.535,6.3241605,0.0,0.007524999999999338,10.534999999999073,161650.6517254499,140563.7925649499,0.0,1400.0,0.0,0.03939656189999341,0.039298,满足 defensive BUY_1。,,0,0.0,-94.53499999999977,risk_on,next_bar,open,,
2025-05-14,600000.sh,浦发银行,defensive_dividend,SELL,SELL_ALL,SELL_ALL,3200.0,11.57421,37037.472,11.1112416,18.518736,0.005789999999999296,18.527999999997746,140563.7925649499,177571.6345873499,3200.0,0.0,0.0668170378057765,0.0,0.0,高股息补充触发 BUY_1。,valuation_reversion_exit,506,17350.018022400003,0.0,risk_on,next_bar,open,,
2025-05-15,002532.sz,天山铝业,cyclical_rotation,BUY,BUY_1,BUY_1,2200.0,7.44372,16376.184,4.912855199999999,0.0,0.0037199999999995015,8.183999999998903,177571.6345873499,161190.53773214988,0.0,2200.0,0.0,0.029388098713089058,0.029215,满足 cyclical BUY_1。,,0,0.0,-360.18399999999923,risk_on,next_bar,open,,
2025-06-20,600585.sh,海螺水泥,cyclical_rotation,SELL,SELL_ALL,SELL_ALL,600.0,20.839575000000004,12503.745000000003,3.7511235000000003,6.251872500000001,0.010424999999997908,6.254999999998745,161190.53773214988,173684.27973614988,600.0,0.0,0.02247078397239799,0.0,0.0,满足 cyclical BUY_1。,trend_stop,48,-1769.385995999996,0.0,risk_on,next_bar,open,,
2025-06-23,600926.sh,杭州银行,defensive_dividend,SELL,SELL_ALL,SELL_ALL,1600.0,16.481755,26370.808,7.9112424,13.185404,0.008244999999998726,13.191999999997961,173684.27973614988,200033.99108974988,1600.0,0.0,0.04721388263410479,0.0,0.0,高股息补充触发 BUY_1。,valuation_reversion_exit,78,4802.943353600001,0.0,risk_on,next_bar,open,,
2025-09-02,002532.sz,天山铝业,cyclical_rotation,SELL,SELL_ALL,SELL_ALL,2200.0,10.1949,22428.780000000002,6.7286340000000004,11.214390000000002,0.005099999999998772,11.219999999997299,200033.99108974988,222444.82806574987,2200.0,0.0,0.038092099135552976,0.0,0.0,满足 cyclical BUY_1。,valuation_reversion_exit,77,6034.652976000003,0.0,risk_on,next_bar,open,,
2025-09-02,603799.sh,华友钴业,cyclical_rotation,SELL,SELL_ALL,SELL_ALL,500.0,49.685145000000006,24842.572500000002,7.45277175,12.421286250000001,0.024854999999995186,12.427499999997593,222444.82806574987,247267.52650774986,500.0,0.0,0.04219158306658508,0.0,0.0,满足 cyclical BUY_1。,valuation_reversion_exit,153,10350.465942000003,0.0,risk_on,next_bar,open,,
2025-09-15,000786.sz,北新建材,cyclical_rotation,SELL,SELL_ALL,SELL_ALL,500.0,25.297345,12648.6725,3.79460175,6.32433625,0.01265499999999875,6.327499999999375,247267.52650774986,259906.08006974985,500.0,0.0,0.02152289524307086,0.0,0.0,满足 cyclical BUY_1。,trend_stop,234,-1773.648937999999,0.0,risk_on,next_bar,open,,
2025-11-04,600023.sh,浙能电力,defensive_dividend,BUY,BUY_1,BUY_1,4500.0,5.2226099999999995,23501.745,7.050523499999999,0.0,0.002609999999999779,11.744999999999006,259906.08006974985,236397.28454624984,0.0,4500.0,0.0,0.039797979789858044,0.039778,高股息补充触发 BUY_1。,,0,0.0,123.25500000000211,risk_on,next_bar,open,,
2025-12-12,600989.sh,宝丰能源,cyclical_rotation,SELL,SELL_ALL,SELL_ALL,900.0,17.741125,15967.0125,4.79010375,7.9835062500000005,0.008874999999999744,7.98749999999977,236397.28454624984,252351.52343624984,900.0,0.0,0.027223941022819338,0.0,0.0,满足 cyclical BUY_1。,cycle_peak_trap_trend_break,336,2339.4348900000023,0.0,risk_on,next_bar,open,,
2025-12-17,000921.sz,海信家电,defensive_dividend,BUY,BUY_1,BUY_1,900.0,25.8129,23231.61,6.969482999999999,0.0,0.012899999999998357,11.609999999998522,252351.52343624984,229112.94395324984,0.0,900.0,0.0,0.03948546519614958,0.039466,高股息补充触发 BUY_1。,,0,0.0,123.3900000000002,risk_on,next_bar,open,,
2025-12-29,601688.sh,华泰证券,defensive_dividend,SELL,SELL_ALL,SELL_ALL,1400.0,23.838075000000003,33373.30500000001,10.0119915,16.686652500000005,0.011924999999997965,16.69499999999715,229112.94395324984,262459.55030924984,1400.0,0.0,0.05634756120136168,0.0,0.0,满足 defensive BUY_1。,valuation_reversion_exit,176,12266.071356000008,0.0,risk_on,next_bar,open,,
2025-12-30,600690.sh,海尔智家,defensive_dividend,BUY,BUY_1,BUY_1,800.0,26.543264999999998,21234.611999999997,6.3703835999999985,0.0,0.013264999999996974,10.611999999997579,262459.55030924984,241218.56792564984,0.0,800.0,0.0,0.036114910252053795,0.036165,高股息补充触发 BUY_1。,,0,0.0,-2.6119999999991705,risk_on,next_bar,open,,
2026-02-11,600176.sh,中国巨石,cyclical_rotation,SELL,SELL_ALL,SELL_ALL,1400.0,23.988,33583.2,10.074959999999999,16.7916,0.012000000000000455,16.800000000000637,241218.56792564984,274774.9013656498,1400.0,0.0,0.056636958680538044,0.0,0.0,满足 cyclical BUY_1。,valuation_reversion_exit,332,18274.696439999996,0.0,risk_on,next_bar,open,,
2026-03-02,600018.sh,上港集团,cyclical_rotation,SELL,SELL_ALL,SELL_ALL,3700.0,5.0574699999999995,18712.639,5.613791699999999,9.3563195,0.0025300000000001432,9.36100000000053,274774.9013656498,293472.57025444985,3700.0,0.0,0.0313828334402626,0.0,0.0,满足 defensive BUY_1。,valuation_reversion_exit,671,775.1621138000012,0.0,risk_on,next_bar,open,,
2026-03-04,600803.sh,新奥股份,defensive_dividend,SELL,SELL_ALL,SELL_ALL,1100.0,24.537725000000002,26991.4975,8.09744925,13.49574875,0.012274999999998926,13.502499999998818,293472.57025444985,320442.47455644986,1100.0,0.0,0.045219950163801884,0.0,0.0,满足 defensive BUY_1。,valuation_reversion_exit,343,8062.455302000005,0.0,risk_on,next_bar,open,,
2026-03-04,601018.sh,宁波港,defensive_dividend,SELL,SELL_ALL,SELL_ALL,5600.0,4.167915,23340.324,7.0020972,11.670162000000001,0.0020850000000001145,11.676000000000641,320442.47455644986,343764.12629724987,5600.0,0.0,0.03910299115812263,0.0,0.0,满足 cyclical BUY_1。,valuation_reversion_exit,543,4601.78485707907,0.0,risk_on,next_bar,open,,
2026-03-05,000921.sz,海信家电,defensive_dividend,SELL,SELL_ALL,SELL_ALL,900.0,22.968510000000002,20671.659000000003,6.2014977,10.335829500000003,0.011489999999998446,10.340999999998601,343764.12629724987,364419.24797004985,900.0,0.0,0.03479783621770724,0.0,0.0,高股息补充触发 BUY_1。,trend_stop,48,-2576.488327199997,0.0,risk_on,next_bar,open,,
2026-03-25,600690.sh,海尔智家,defensive_dividend,SELL,SELL_ALL,SELL_ALL,800.0,23.458265,18766.612,5.6299836,9.383306000000001,0.011734999999998053,9.387999999998442,364419.24797004985,383170.84668044985,800.0,0.0,0.031682737369992074,0.0,0.0,高股息补充触发 BUY_1。,trend_stop,53,-2483.0132895999964,0.0,risk_on,next_bar,open,,
